Swiss Stats Map Explorer; ; 
Référentiel géographique : Communes (politique) 18.04.2021; ; 
Code;Libellé;13.06.2021 : Loi sur le CO2 - Proportion de "oui"
1;Aeugst am Albis;53.2
10;Obfelden;44.4
100;Stadel;35.1
1001;Doppleschwand;26
1002;Entlebuch;27.2
1004;Flühli;26.3
1005;Hasle (LU);18.1
1007;Romoos;24.1
1008;Schüpfheim;34.7
1009;Werthenstein;29.8
101;Steinmaur;40.2
1010;Escholzmatt-Marbach;23.5
102;Weiach;27.1
1021;Aesch (LU);38.5
1023;Ballwil;39.6
1024;Emmen;45.5
1025;Ermensee;38.8
1026;Eschenbach (LU);44.9
1030;Hitzkirch;41.7
1031;Hochdorf;48.6
1032;Hohenrain;38.2
1033;Inwil;37.7
1037;Rain;40.7
1039;Römerswil;36.2
1040;Rothenburg;51.7
1041;Schongau;31.3
1051;Adligenswil;56.6
1052;Buchrain;50.7
1053;Dierikon;37.1
1054;Ebikon;48.8
1055;Gisikon;39.1
1056;Greppen;42.3
1057;Honau;34.4
1058;Horw;56.4
1059;Kriens;54.1
1061;Luzern;66.6
1062;Malters;42.6
1063;Meggen;54.5
1064;Meierskappel;37.7
1065;Root;40.4
1066;Schwarzenberg;32
1067;Udligenswil;50.8
1068;Vitznau;46.1
1069;Weggis;47.6
1081;Beromünster;43.5
1082;Büron;40.8
1083;Buttisholz;40.5
1084;Eich;43.9
1085;Geuensee;50
1086;Grosswangen;35.7
1088;Hildisrieden;47.1
1089;Knutwil;45.6
1091;Mauensee;51.9
1093;Neuenkirch;45.5
1094;Nottwil;44.8
1095;Oberkirch;54.9
1097;Rickenbach (LU);34.1
1098;Ruswil;40.9
1099;Schenkon;44.7
11;Ottenbach;48.3
1100;Schlierbach;41
1102;Sempach;57
1103;Sursee;58
1104;Triengen;38.3
1107;Wolhusen;37.9
111;Bäretswil;35.5
112;Bubikon;46.4
1121;Alberswil;32.3
1122;Altbüron;35.5
1123;Altishofen;40.2
1125;Dagmersellen;35.1
1127;Egolzwil;43.2
1128;Ettiswil;37.5
1129;Fischbach;24.3
113;Dürnten;42.7
1131;Grossdietwil;33.4
1132;Hergiswil bei Willisau;24.1
1135;Luthern;19.7
1136;Menznau;29.7
1137;Nebikon;40.6
1139;Pfaffnau;32.9
114;Fischenthal;27.1
1140;Reiden;36.2
1142;Roggliswil;21.9
1143;Schötz;37.7
1145;Ufhusen;24.8
1146;Wauwil;43.6
1147;Wikon;45.3
115;Gossau (ZH);40.5
1150;Zell (LU);34.4
1151;Willisau;40.2
116;Grüningen;40
117;Hinwil;40.1
118;Rüti (ZH);46.1
119;Seegräben;53.1
12;Rifferswil;53.9
120;Wald (ZH);45.1
1201;Altdorf (UR);51.2
1202;Andermatt;36.8
1203;Attinghausen;27.8
1205;Bürglen (UR);29.7
1206;Erstfeld;38.7
1207;Flüelen;33.9
1208;Göschenen;21.9
1209;Gurtnellen;20.9
121;Wetzikon (ZH);48.1
1210;Hospental;11
1211;Isenthal;28.4
1212;Realp;26
1213;Schattdorf;33.1
1214;Seedorf (UR);32.1
1215;Seelisberg;28.7
1216;Silenen;21.5
1217;Sisikon;26.1
1218;Spiringen;10.8
1219;Unterschächen;11.6
1220;Wassen;22.4
13;Stallikon;49.8
1301;Einsiedeln;31.3
131;Adliswil;53.9
1311;Gersau;43.4
1321;Feusisberg;34.3
1322;Freienbach;39.5
1323;Wollerau;36.2
1331;Küssnacht (SZ);45.1
1341;Altendorf;37.1
1342;Galgenen;31.2
1343;Innerthal;13.8
1344;Lachen;44.2
1345;Reichenburg;24
1346;Schübelbach;27.9
1347;Tuggen;25.7
1348;Vorderthal;12.2
1349;Wangen (SZ);32
135;Kilchberg (ZH);56.1
136;Langnau am Albis;52.3
1361;Alpthal;15.5
1362;Arth;37.1
1363;Illgau;21
1364;Ingenbohl;43.1
1365;Lauerz;28.7
1366;Morschach;28.9
1367;Muotathal;17.1
1368;Oberiberg;24
