Municipality,Green party [%]
Aeugst am Albis,7.9
Obfelden,6.9
Stadel,7.5
Doppleschwand,1.3
Entlebuch,2.1
Flühli,1
Hasle (LU),0.8
Romoos,1.8
Schüpfheim,3.7
Werthenstein,2.5
Steinmaur,6.8
Escholzmatt-Marbach,1.5
Weiach,4.2
Aesch (LU),3.3
Ballwil,3.6
Emmen,7.6
Ermensee,4.2
Eschenbach (LU),4.8
Hitzkirch,4.9
Hochdorf,5.7
Hohenrain,4.1
Inwil,3.6
Rain,3.1
Römerswil,3.2
Rothenburg,5.9
Schongau,2.7
Adligenswil,9.6
Buchrain,6.3
Dierikon,9.5
Ebikon,8.4
Gisikon,4.4
Greppen,5.9
Honau,6.7
Horw,11.8
Kriens,12.6
Luzern,15.6
Malters,6
Meggen,5.9
Meierskappel,4.6
Root,6.5
Schwarzenberg,4.2
Udligenswil,5.3
Vitznau,4.6
Weggis,5.7
Beromünster,4.1
Büron,5.5
Buttisholz,3.7
Eich,2.5
Geuensee,9.4
Grosswangen,3
Hildisrieden,4.3
Knutwil,6.6
Mauensee,8.2
Neuenkirch,5.5
Nottwil,5.3
Oberkirch,10.6
Rickenbach (LU),3.7
Ruswil,4.3
Schenkon,5
Ottenbach,7.4
Schlierbach,4.3
Sempach,6.3
Sursee,13.1
Triengen,4.4
Wolhusen,3.8
Bäretswil,6
Bubikon,8.6
Alberswil,3.8
Altbüron,1.9
Altishofen,3.4
Dagmersellen,3.9
Egolzwil,3.7
Ettiswil,2.7
Fischbach,2.5
Dürnten,7.4
Grossdietwil,6.4
Hergiswil bei Willisau,1.4
Luthern,1.1
Menznau,2.1
Nebikon,4.7
Pfaffnau,4.8
Fischenthal,6.2
Reiden,4.2
Roggliswil,1.7
Schötz,4.3
Ufhusen,1.5
Wauwil,5.4
Wikon,5.9
Gossau (ZH),7
Zell (LU),3
Willisau,4.7
Grüningen,6.6
Hinwil,7.1
Rüti (ZH),9.4
Seegräben,10.1
Rifferswil,16.2
Wald (ZH),10.7
Altdorf (UR),N/A
Andermatt,N/A
Attinghausen,N/A
Bürglen (UR),N/A
Erstfeld,N/A
Flüelen,N/A
Göschenen,N/A
Gurtnellen,N/A
Wetzikon (ZH),10
Hospental,N/A
Isenthal,N/A
Realp,N/A
Schattdorf,N/A
Seedorf (UR),N/A
Seelisberg,N/A
Silenen,N/A
Sisikon,N/A
Spiringen,N/A
Unterschächen,N/A
Wassen,N/A
Stallikon,7
Einsiedeln,1.8
Adliswil,8.2
Gersau,3.9
Feusisberg,1.4
Freienbach,2.9
Wollerau,1.9
Küssnacht (SZ),2.9
Altendorf,2
Galgenen,2.5
Innerthal,0
Lachen,1.9
Reichenburg,3.2
Schübelbach,1.7
Tuggen,1.8
Vorderthal,1.1
Wangen (SZ),2.2
Kilchberg (ZH),7.3
Langnau am Albis,6.6
Alpthal,1
Arth,3.7
Illgau,1.5
Ingenbohl,4.7
Lauerz,2.6
Morschach,3.7
Muotathal,1.6
Oberiberg,1
Riemenstalden,0
Oberrieden,8
Rothenthurm,1.1
Sattel,1.1
Schwyz,5.2
Steinen,3.5
Steinerberg,1.7
Unteriberg,0.2
Richterswil,7.6
Rüschlikon,6.6
Wettswil am Albis,5.6
Alpnach,N/A
Engelberg,N/A
Giswil,N/A
Kerns,N/A
Lungern,N/A
Sachseln,N/A
Sarnen,N/A
Thalwil,7.8
Beckenried,N/A
Buochs,N/A
