Comune,Tipologia
Aeugst am Albis,3
Affoltern am Albis,1
Bonstetten,2
Hausen am Albis,2
Hedingen,1
Kappel am Albis,3
Knonau,2
Maschwanden,3
Mettmenstetten,2
Obfelden,2
Ottenbach,2
Rifferswil,3
Stallikon,2
Wettswil am Albis,2
Benken (ZH),3
Berg am Irchel,2
Buch am Irchel,3
Dachsen,2
Dorf,3
Feuerthalen,1
Flaach,2
Flurlingen,1
Henggart,2
Kleinandelfingen,2
Laufen-Uhwiesen,2
Marthalen,2
Ossingen,3
Rheinau,3
Thalheim an der Thur,3
Trüllikon,3
Truttikon,3
Volken,2
Bachenbülach,1
Bassersdorf,1
Bülach,1
Dietlikon,1
Eglisau,2
Embrach,1
Freienstein-Teufen,1
Glattfelden,2
Hochfelden,2
Höri,1
Hüntwangen,3
Kloten,1
Lufingen,2
Nürensdorf,2
Oberembrach,3
Opfikon,1
Rafz,2
Rorbas,1
Wallisellen,1
Wasterkingen,3
Wil (ZH),3
Winkel,1
Bachs,3
Boppelsen,3
Buchs (ZH),1
Dällikon,1
Dänikon,2
Dielsdorf,2
Hüttikon,2
Neerach,2
Niederglatt,1
Niederhasli,1
Niederweningen,2
Oberglatt,1
Oberweningen,2
Otelfingen,2
Regensberg,2
Regensdorf,1
Rümlang,2
Schleinikon,2
Schöfflisdorf,2
Stadel,2
Steinmaur,2
Weiach,2
Bäretswil,2
Bubikon,2
Dürnten,1
Fischenthal,3
Gossau (ZH),2
Grüningen,2
Hinwil,2
Rüti (ZH),1
Seegräben,2
Wald (ZH),2
Wetzikon (ZH),1
Adliswil,1
Kilchberg (ZH),1
Langnau am Albis,1
Oberrieden,1
Richterswil,1
Rüschlikon,1
Thalwil,1
Erlenbach (ZH),1
Herrliberg,1
Hombrechtikon,2
Küsnacht (ZH),1
Männedorf,1
Meilen,1
Oetwil am See,2
Stäfa,1
Uetikon am See,1
Zumikon,1
Zollikon,1
Fehraltorf,2
Hittnau,2
Lindau,2
Pfäffikon,1
Russikon,2
Weisslingen,2
Wila,2
Wildberg,3
Dübendorf,1
Egg,2
Fällanden,1
Greifensee,1
Maur,2
Mönchaltorf,2
Schwerzenbach,1
Uster,1
Volketswil,1
Wangen-Brüttisellen,1
Altikon,3
Brütten,2
Dägerlen,3
Dättlikon,3
Dinhard,3
Ellikon an der Thur,3
Elsau,1
Hagenbuch,3
Hettlingen,2
Neftenbach,1
Pfungen,2
Rickenbach (ZH),2
Schlatt (ZH),3
Seuzach,2
Turbenthal,2
Winterthur,1
Zell (ZH),2
Aesch (ZH),3
Birmensdorf (ZH),2
Dietikon,1
Geroldswil,1
Oberengstringen,1
Oetwil an der Limmat,1
Schlieren,1
Uitikon,2
Unterengstringen,1
Urdorf,1
Weiningen (ZH),1
Zürich,1
Andelfingen,2
Stammheim,3
Wädenswil,1
Elgg,2
Horgen,1
Illnau-Effretikon,1
Bauma,2
Wiesendangen,2
Aarberg,2
Bargen (BE),2
Grossaffoltern,2
Kallnach,3
Kappelen,2
Lyss,1
Meikirch,3
Radelfingen,3
Rapperswil (BE),3
Schüpfen,2
Seedorf (BE),3
Aarwangen,3
Auswil,3
Bannwil,3
Bleienbach,3
Busswil bei Melchnau,3
Gondiswil,3
Langenthal,1
Lotzwil,1
Madiswil,3
Melchnau,3
Oeschenbach,3
Reisiswil,3
Roggwil (BE),3
Rohrbach,3
Rohrbachgraben,3
Rütschelen,3
Schwarzhäusern,3
Thunstetten,3
Ursenbach,3
Wynau,3
Bern,1
Bolligen,1
Bremgarten bei Bern,1
Kirchlindach,2
Köniz,1
Muri bei Bern,1
Oberbalm,3
Stettlen,1
Vechigen,1
Wohlen bei Bern,2
Zollikofen,1
Ittigen,1
Ostermundigen,1
Biel/Bienne,1
Evilard,1
Arch,2
Büetigen,2
Büren an der Aare,2
Diessbach bei Büren,3
Dotzigen,2
Lengnau (BE),1
Leuzigen,3
Meienried,3
Meinisberg,3
Oberwil bei Büren,3
Pieterlen,2
Rüti bei Büren,3
Wengi,3
Aefligen,1
Alchenstorf,3
Bäriswil,2
Burgdorf,1
Ersigen,1
Hasle bei Burgdorf,2
Heimiswil,3
Hellsau,3
Hindelbank,2
Höchstetten,3
Kernenried,3
Kirchberg (BE),1
Koppigen,2
Krauchthal,3
Lyssach,2
Oberburg,1
Rüdtligen-Alchenflüh,1
Rumendingen,3
Rüti bei Lyssach,3
Willadingen,3
Wynigen,3
Corgémont,3
Cormoret,3
Cortébert,3
Courtelary,3
La Ferrière,3
Mont-Tramelan,3
Orvin,3
Renan (BE),3
Romont (BE),3
Saint-Imier,2
Sonceboz-Sombeval,3
Sonvilier,3
Tramelan,2
Villeret,2
Sauge,3
Péry-La Heutte,3
Brüttelen,3
Erlach,2
Finsterhennen,3
Gals,2
Gampelen,2
Ins,2
Lüscherz,3
Müntschemier,3
Siselen,3
Treiten,3
Tschugg,3
Vinelz,3
Bätterkinden,2
Deisswil bei Münchenbuchsee,3
Fraubrunnen,2
Jegenstorf,2
Iffwil,3
Mattstetten,2
Moosseedorf,1
Münchenbuchsee,2
Urtenen-Schönbühl,1
Utzenstorf,2
Wiggiswil,3
Wiler bei Utzenstorf,3
Zielebach,2
Zuzwil (BE),3
Adelboden,2
Aeschi bei Spiez,3
Frutigen,2
Kandergrund,3
