period, operator, operatorLabel, product, category, gridusagename, gridusage before discount (cts./kWh), gridusagediscount discount (cts./kWh), gridusage after discount (cts./kWh), hereof grid: fixcosts (CHF p.a.), hereof grid: power price (CHF p.a.), hereof grid: working price (cts./kWh), energyname, energy before discount (cts./kWh), energy discount (cts./kWh), energy after discount (cts./kWh), hereof energy: fixcosts (CHF p.a.), hereof energy: power price (CHF p.a.), hereof energy: working price (cts./kWh), charge (cts./kWh), aidfee (cts./kWh), total (cts./kWh), metering rate (cts./kWh), annual metering cost (CHF p.a.)
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C4,EKZ Netz 400L,6.944,0,6.944,720,21600,1.7,EKZ Mixstrom Business,15.169,0,15.169,0,0,15.169,0.65,2.3,25.063,,
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C4,EKZ Netz 400L,6.944,0,6.944,720,21600,1.7,EKZ Mixstrom Business,15.169,0,15.169,0,0,15.169,0.16,2.3,24.573,,
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C2,EKZ  Netz 400 F,8.18,0,8.18,60,0,7.2,EKZ Mixstrom,15.406,0,15.406,36,0,15.286,0.16,2.3,26.046,,
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H6,EKZ  Netz 400 F,8.22,0,8.22,60,0,7.2,EKZ Mixstrom,14.641,0,14.641,36,0,14.497,0.16,2.3,25.321,,
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C2,EKZ  Netz 400 F,8.18,0,8.18,60,0,7.2,EKZ Mixstrom,15.406,0,15.406,36,0,15.286,0.65,2.3,26.536,,
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H3,EKZ  Netz 400 F,9.313,0,9.313,60,0,7.2,EKZ Mixstrom ,15.491,0,15.491,36,0,14.691,0.65,2.3,27.755,,
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H5,EKZ  Netz 400 F,8.78,0,8.78,60,0,7.2,EKZ Mixstrom ,15.203,0,15.203,36,0,14.723,0.65,2.3,26.933,,
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H8,EKZ  Netz 400 F,8.78,0,8.78,60,0,7.2,EKZ Mixstrom,15.412,0,15.412,36,0,14.932,0.65,2.3,27.142,,
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C1,EKZ  Netz 400 F,8.73,0,8.73,60,0,7.2,EKZ Mixstrom,15.75,0,15.75,36,0,15.3,0.65,2.3,27.43,,
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H1,EKZ  Netz 400 F,11.73,0,11.73,60,0,7.2,EKZ Mixstrom ,17.192,0,17.192,36,0,14.942,0.16,2.3,31.382,,
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H4,EKZ  Netz 400 F,9.313,0,9.313,60,0,7.2,EKZ Mixstrom ,15.732,0,15.732,36,0,14.932,0.65,2.3,27.996,,
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H6,EKZ  Netz 400 F,8.22,0,8.22,60,0,7.2,EKZ Mixstrom,14.641,0,14.641,36,0,14.497,0.65,2.3,25.811,,
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C6,EKZ Netz 16L,4.942,0,4.942,720,42960,1.25,EKZ Mixstrom Business,15.183,0,15.183,0,0,15.183,0.05,2.3,22.475,,
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C3,EKZ Netz 400L,7.76,0,7.76,720,7200,1.7,EKZ Mixstrom Business,15.312,0,15.312,0,0,15.312,0.16,2.3,25.532,,
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H4,EKZ  Netz 400 F,9.313,0,9.313,60,0,7.2,EKZ Mixstrom ,15.732,0,15.732,36,0,14.932,0.16,2.3,27.506,,
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C1,EKZ  Netz 400 F,8.73,0,8.73,60,0,7.2,EKZ Mixstrom,15.75,0,15.75,36,0,15.3,0.16,2.3,26.94,,
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H8,EKZ  Netz 400 F,8.78,0,8.78,60,0,7.2,EKZ Mixstrom,15.412,0,15.412,36,0,14.932,0.16,2.3,26.652,,
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H5,EKZ  Netz 400 F,8.78,0,8.78,60,0,7.2,EKZ Mixstrom ,15.203,0,15.203,36,0,14.723,0.16,2.3,26.443,,
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H7,EKZ Netz 400F & EKZ Netz 400WP,8.217,0,8.217,120,0,6.513,EKZ Mixstrom,15.066,0,15.066,36,0,14.789,0.65,2.3,26.232,,
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,C5,EKZ Netz 16L,5.396,0,5.396,720,16110,1.25,EKZ Mixstrom Business,15.169,0,15.169,0,0,15.169,0.65,2.3,23.515,,
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H3,EKZ  Netz 400 F,9.313,0,9.313,60,0,7.2,EKZ Mixstrom ,15.491,0,15.491,36,0,14.691,0.16,2.3,27.265,,
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H1,EKZ  Netz 400 F,11.73,0,11.73,60,0,7.2,EKZ Mixstrom ,17.192,0,17.192,36,0,14.942,0.65,2.3,31.872,,
2025,CHE-108.954.688,Elektrizitätswerke des Kantons Zürich (EKZ),standard,H2,EKZ  Netz 400 F,10.38,0,10.38,60,0,7.2,EKZ Mixstrom ,16.365,0,16.365,36,0,14.925,0.16,2.3,29.205,,
