Swiss Stats Map Explorer; ; 
Geografisches Bezugssystem: Politische Gemeinden 01.01.2024; ; 
Identifikator;Bezeichnung;Anteil der ständigen ausländischen Wohnbevölkerung 2024
1;Aeugst am Albis;17.2
10;Obfelden;23.2
100;Stadel;16.9
1001;Doppleschwand;5.5
1002;Entlebuch;9.8
1004;Flühli;14.9
1005;Hasle (LU);7.1
1007;Romoos;5.3
1008;Schüpfheim;7.9
1009;Werthenstein;17.6
101;Steinmaur;28.8
1010;Escholzmatt-Marbach;7.8
102;Weiach;26.4
1021;Aesch (LU);16.9
1023;Ballwil;10
1024;Emmen;38.5
1025;Ermensee;15.4
1026;Eschenbach (LU);13.8
1030;Hitzkirch;18.2
1031;Hochdorf;23.3
1032;Hohenrain;10
1033;Inwil;14.3
1037;Rain;8.8
1039;Römerswil;10.2
1040;Rothenburg;12
1041;Schongau;8
1051;Adligenswil;13.5
1052;Buchrain;23.4
1053;Dierikon;20.8
1054;Ebikon;26.1
1055;Gisikon;24.2
1056;Greppen;20.9
1057;Honau;18.5
1058;Horw;18.6
1059;Kriens;24.5
1061;Luzern;27.5
1062;Malters;15.8
1063;Meggen;19.1
1064;Meierskappel;20.6
1065;Root;29.2
1066;Schwarzenberg;8.3
1067;Udligenswil;13.4
1068;Vitznau;30.2
1069;Weggis;28.1
1081;Beromünster;13.8
1082;Büron;27.6
1083;Buttisholz;13.8
1084;Eich;9
1085;Geuensee;23
1086;Grosswangen;14.8
1088;Hildisrieden;11.4
1089;Knutwil;13.2
1091;Mauensee;9.5
1093;Neuenkirch;12.8
1094;Nottwil;13.2
1095;Oberkirch;12.3
1097;Rickenbach (LU);21.8
1098;Ruswil;11.9
1099;Schenkon;7.5
11;Ottenbach;16.3
1100;Schlierbach;9.1
1102;Sempach;9.6
1103;Sursee;18.5
1104;Triengen;28.1
1107;Wolhusen;27.1
111;Bäretswil;11.8
112;Bubikon;12.7
1121;Alberswil;15.1
1122;Altbüron;13.1
1123;Altishofen;19.8
1125;Dagmersellen;18.8
1127;Egolzwil;14.5
1128;Ettiswil;12.7
1129;Fischbach;13.3
113;Dürnten;21
1131;Grossdietwil;15.4
1132;Hergiswil bei Willisau;8.6
1135;Luthern;7.2
1136;Menznau;14
1137;Nebikon;35
1139;Pfaffnau;19.5
114;Fischenthal;17.3
1140;Reiden;29.4
1142;Roggliswil;8
1143;Schötz;21.9
1145;Ufhusen;7.6
1146;Wauwil;22.9
1147;Wikon;20.3
115;Gossau (ZH);16.7
1150;Zell (LU);14.4
1151;Willisau;15.3
116;Grüningen;15.6
117;Hinwil;19.8
118;Rüti (ZH);27.2
119;Seegräben;16
12;Rifferswil;11.8
120;Wald (ZH);27.7
1201;Altdorf (UR);19.4
1202;Andermatt;30
1203;Attinghausen;5.8
1205;Bürglen (UR);7.3
1206;Erstfeld;24.2
1207;Flüelen;17.9
1208;Göschenen;29.3
1209;Gurtnellen;10.1
121;Wetzikon (ZH);29.3
1210;Hospental;26.1
1211;Isenthal;2.4
1212;Realp;20.1
1213;Schattdorf;11.2
1214;Seedorf (UR);8.6
1215;Seelisberg;17.3
1216;Silenen;7.3
1217;Sisikon;30.1
1218;Spiringen;3
1219;Unterschächen;1.3
1220;Wassen;31.1
13;Stallikon;23.4
1301;Einsiedeln;18.3
131;Adliswil;41
1311;Gersau;29.7
1321;Feusisberg;26.2
1322;Freienbach;31.3
1323;Wollerau;27
1331;Küssnacht (SZ);26.5
1341;Altendorf;23
1342;Galgenen;22.6
1343;Innerthal;7.9
1344;Lachen;32.2
1345;Reichenburg;26.2
1346;Schübelbach;33.4
1347;Tuggen;19.3
1348;Vorderthal;11.6
1349;Wangen (SZ);17.5
135;Kilchberg (ZH);33.2
136;Langnau am Albis;31.3
1361;Alpthal;10.3
1362;Arth;30.3
1363;Illgau;4.7
1364;Ingenbohl;22.9
1365;Lauerz;14.1
1366;Morschach;25.5
1367;Muotathal;8
1368;Oberiberg;13.5
1369;Riemenstalden;4.7
137;Oberrieden;24.5
1370;Rothenthurm;17.7
1371;Sattel;15.8
1372;Schwyz;21.7
1373;Steinen;11.2
1374;Steinerberg;10.8
1375;Unteriberg;11.3
138;Richterswil;22.1
139;Rüschlikon;32.1
14;Wettswil am Albis;18
1401;Alpnach;18.3
1402;Engelberg;30.3
1403;Giswil;14.6
