Swiss Stats Map Explorer; ; 
Geografisches Bezugssystem: Kantone 01.01.2022; ; 
Identifikator;Bezeichnung;Wohneigentumsquote 2023
1;Zürich;26.7
10;Freiburg;41.7
11;Solothurn;45.7
12;Basel-Stadt;15.9
13;Basel-Landschaft;43.5
14;Schaffhausen;41.5
15;Appenzell Ausserrhoden;46.9
16;Appenzell Innerrhoden;49.4
17;St. Gallen;38.7
18;Graubünden;43.9
19;Aargau;45.5
2;Bern;38
20;Thurgau;44.6
21;Tessin;38.2
22;Waadt;30
23;Wallis;53.6
24;Neuenburg;29.9
25;Genf;18.4
26;Jura;50.6
3;Luzern;34.1
4;Uri;46.8
5;Schwyz;39.3
6;Obwalden;43.2
7;Nidwalden;38.2
8;Glarus;47.3
9;Zug;31.6
