Swiss Stats Map Explorer; ; 
Geografisches Bezugssystem: Politische Gemeinden 01.01.2024; ; 
Identifikator;Bezeichnung;Anteil Haushalte mit fünf oder mehr Personen 2024
1;Aeugst am Albis;5.8
10;Obfelden;6.4
100;Stadel;5
1001;Doppleschwand;9.8
1002;Entlebuch;7.4
1004;Flühli;8.4
1005;Hasle (LU);9.9
1007;Romoos;13.4
1008;Schüpfheim;9.2
1009;Werthenstein;8.3
101;Steinmaur;6
1010;Escholzmatt-Marbach;7.5
102;Weiach;6.4
1021;Aesch (LU);5.6
1023;Ballwil;7.3
1024;Emmen;6
1025;Ermensee;9.6
1026;Eschenbach (LU);6.4
1030;Hitzkirch;8.3
1031;Hochdorf;6.6
1032;Hohenrain;11.1
1033;Inwil;8.4
1037;Rain;8.1
1039;Römerswil;11
1040;Rothenburg;6.1
1041;Schongau;7.5
1051;Adligenswil;5.8
1052;Buchrain;6.4
1053;Dierikon;7.1
1054;Ebikon;6
1055;Gisikon;5.7
1056;Greppen;6.8
1057;Honau;4
1058;Horw;3.9
1059;Kriens;4.6
1061;Luzern;3.2
1062;Malters;6.5
1063;Meggen;4.1
1064;Meierskappel;8.8
1065;Root;6.7
1066;Schwarzenberg;7.7
1067;Udligenswil;5.9
1068;Vitznau;3.9
1069;Weggis;3.6
1081;Beromünster;8.7
1082;Büron;8.3
1083;Buttisholz;9.5
1084;Eich;4
1085;Geuensee;7.6
1086;Grosswangen;9
1088;Hildisrieden;6.8
1089;Knutwil;6.8
1091;Mauensee;6.5
1093;Neuenkirch;8.4
1094;Nottwil;7.4
1095;Oberkirch;6.2
1097;Rickenbach (LU);6.9
1098;Ruswil;8.7
1099;Schenkon;5.7
11;Ottenbach;5.5
1100;Schlierbach;7.5
1102;Sempach;6.1
1103;Sursee;5.3
1104;Triengen;10.5
1107;Wolhusen;7.9
111;Bäretswil;6.8
112;Bubikon;6
1121;Alberswil;5.9
1122;Altbüron;5.5
1123;Altishofen;8.6
1125;Dagmersellen;6.9
1127;Egolzwil;7.2
1128;Ettiswil;8.5
1129;Fischbach;10.3
113;Dürnten;7
1131;Grossdietwil;5.8
1132;Hergiswil bei Willisau;10.7
1135;Luthern;11.1
1136;Menznau;10.2
1137;Nebikon;7.8
1139;Pfaffnau;7
114;Fischenthal;6.8
1140;Reiden;7.2
1142;Roggliswil;7.2
1143;Schötz;8.4
1145;Ufhusen;9
1146;Wauwil;7.7
1147;Wikon;8.2
115;Gossau (ZH);5.9
1150;Zell (LU);8.4
1151;Willisau;8.3
116;Grüningen;5.3
117;Hinwil;5.7
118;Rüti (ZH);5.9
119;Seegräben;6.2
12;Rifferswil;7.5
120;Wald (ZH);6.7
1201;Altdorf (UR);4.8
1202;Andermatt;3
1203;Attinghausen;9.9
1205;Bürglen (UR);7
1206;Erstfeld;6.8
1207;Flüelen;5.8
1208;Göschenen;4
1209;Gurtnellen;5.4
121;Wetzikon (ZH);5.7
1210;Hospental;6
1211;Isenthal;14.2
1212;Realp;0
1213;Schattdorf;6.2
1214;Seedorf (UR);8.6
1215;Seelisberg;3.9
1216;Silenen;6.9
1217;Sisikon;7.5
1218;Spiringen;11.4
1219;Unterschächen;13.4
1220;Wassen;6.3
13;Stallikon;5.2
1301;Einsiedeln;5.8
131;Adliswil;4.1
1311;Gersau;3.8
1321;Feusisberg;5.1
1322;Freienbach;4.6
1323;Wollerau;5.1
1331;Küssnacht (SZ);5.5
1341;Altendorf;4.8
1342;Galgenen;5.5
1343;Innerthal;9.5
1344;Lachen;4.5
1345;Reichenburg;7.4
1346;Schübelbach;6.9
1347;Tuggen;5.7
1348;Vorderthal;5
1349;Wangen (SZ);4.6
135;Kilchberg (ZH);4.6
136;Langnau am Albis;5.7
1361;Alpthal;5.6
1362;Arth;6.3
1363;Illgau;14.6
1364;Ingenbohl;4.7
1365;Lauerz;8.7
1366;Morschach;4.9
1367;Muotathal;8.5
1368;Oberiberg;5.1
1369;Riemenstalden;25.9
137;Oberrieden;4.5
1370;Rothenthurm;9.8
1371;Sattel;8
1372;Schwyz;6
1373;Steinen;7.3
1374;Steinerberg;9.7
1375;Unteriberg;5.8
138;Richterswil;5.2
139;Rüschlikon;5.8
14;Wettswil am Albis;5
1401;Alpnach;5.3
1402;Engelberg;3.9
1403;Giswil;6.8
1404;Kerns;7.1
1405;Lungern;6.6
1406;Sachseln;7
1407;Sarnen;5.5
141;Thalwil;3.7
1501;Beckenried;4.9
1502;Buochs;5.7
1503;Dallenwil;7
1504;Emmetten;3.8
1505;Ennetbürgen;3.5
1506;Ennetmoos;6.9
1507;Hergiswil (NW);3.8
1508;Oberdorf (NW);7.1
1509;Stans;4.4
151;Erlenbach (ZH);5.5
1510;Stansstad;3.1
1511;Wolfenschiessen;9.3
152;Herrliberg;5.3
153;Hombrechtikon;5.1
154;Küsnacht (ZH);5.2
155;Männedorf;4.4
156;Meilen;4.7
157;Oetwil am See;6.2
158;Stäfa;4.2
159;Uetikon am See;5.8
160;Zumikon;5.9
161;Zollikon;5
1630;Glarus Nord;6
1631;Glarus Süd;4.9
1632;Glarus;5.3
1701;Baar;5.5
1702;Cham;5.5
1703;Hünenberg;7
1704;Menzingen;6.1
1705;Neuheim;8.5
1706;Oberägeri;5.6
1707;Risch;5.4
1708;Steinhausen;5
1709;Unterägeri;5.6
1710;Walchwil;5.5
1711;Zug;4.4
172;Fehraltorf;5.3
173;Hittnau;6.1
176;Lindau;6.6
177;Pfäffikon;4.7
178;Russikon;6.3
180;Weisslingen;5.2
181;Wila;7.1
182;Wildberg;7.6
191;Dübendorf;4.1
192;Egg;5.1
193;Fällanden;5.4
194;Greifensee;6.6
195;Maur;5.2
196;Mönchaltorf;5.7
197;Schwerzenbach;4.9
198;Uster;4.8
199;Volketswil;7
2;Affoltern am Albis;5.8
200;Wangen-Brüttisellen;5.9
2008;Châtillon (FR);8.2
2011;Cugy (FR);6.1
2016;Fétigny;4.2
2022;Gletterens;5.5
2025;Lully (FR);6.7
2027;Ménières;9.2
2029;Montagny (FR);8.1
2035;Nuvilly;10.8
2038;Prévondavaux;0
2041;Saint-Aubin (FR);6.7
2043;Sévaz;6.8
2044;Surpierre;8
2045;Vallon;6
2050;Les Montets;7.1
2051;Delley-Portalban;5.2
2053;Belmont-Broye;7.6
2054;Estavayer;6.3
2055;Cheyres-Châbles;4.3
2061;Auboranges;8
2063;Billens-Hennens;6.2
2066;Chapelle (Glâne);7.4
2067;Le Châtelard;9.5
2068;Châtonnaye;6.7
2072;Ecublens (FR);8.4
2079;Grangettes;11.8
2086;Massonnens;8.2
2087;Mézières (FR);5.7
2089;Montet (Glâne);7.6
2096;Romont (FR);6.3
2097;Rue;5.7
2099;Siviriez;8.7
2102;Ursy;7.3
211;Altikon;6.5
2113;Vuisternens-devant-Romont;8.6
2114;Villorsonnens;7.4
2115;Torny;7.4
2117;Villaz;6.9
2121;Haut-Intyamon;9.4
2122;Pont-en-Ogoz;6.5
2123;Botterens;8.4
2124;Broc;6.6
2125;Bulle;6
2128;Châtel-sur-Montsalvens;4.5
2129;Corbières;6.4
213;Brütten;4.6
2130;Crésuz;8
2131;Echarlens;5.4
2134;Grandvillard;6.1
2135;Gruyères;5.7
2137;Hauteville;11.3
2138;Jaun;10.4
214;Dägerlen;6.5
2140;Marsens;8.7
2143;Morlon;5
2145;Le Pâquier (FR);7
2147;Pont-la-Ville;7.5
2148;Riaz;7.4
2149;La Roche;7.6
215;Dättlikon;6.7
2152;Sâles;9.9
2153;Sorens;7.1
2155;Vaulruz;6.3
216;Dinhard;5
2160;Vuadens;7.6
2162;Bas-Intyamon;6.3
2163;Val-de-Charmey;4.9
2173;Autigny;8.5
2174;Avry;5.7
2175;Belfaux;9.5
2177;Chénens;8
218;Ellikon an der Thur;7.8
2183;Corminboeuf;5.9
2186;Cottens (FR);8.1
219;Elsau;6.5
2194;Ferpicloz;4
2196;Fribourg;5.1
2197;Givisiez;6.2
2198;Granges-Paccot;6.8
22;Benken (ZH);7.4
220;Hagenbuch;6.7
2200;Grolley;6
2206;Marly;5.5
2208;Matran;7
221;Hettlingen;6.3
2211;Neyruz (FR);7.6
2216;Pierrafortscha;13
2217;Ponthaux;8.2
2220;Le Mouret;7.5
2226;Treyvaux;6.3
2228;Villars-sur-Glâne;6.9
223;Neftenbach;6.3
2230;Villarsel-sur-Marly;3.3
2233;Hauterive (FR);7.3
2234;La Brillaz;6.3
2235;La Sonnaz;7.4
2236;Gibloux;6.3
2237;Prez;6.8
2238;Bois-d'Amont;8.6
224;Pfungen;7.9
225;Rickenbach (ZH);8.3
2250;Courgevaux;6.3
2254;Courtepin;6.9
2257;Cressier (FR);6.3
2258;Fräschels;4.6
226;Schlatt (ZH);9.9
2261;Greng;9.6
2262;Gurmels;6.5
2265;Kerzers;6.9
2266;Kleinbösingen;7.2
227;Seuzach;4.5
2271;Meyriez;4.9
2272;Misery-Courtion;8.3
2274;Muntelier;4.9
2275;Murten;5.9
2276;Ried bei Kerzers;6.8
2278;Ulmiz;2.6
228;Turbenthal;7.7
2284;Mont-Vully;4
2292;Brünisried;6.1
2293;Düdingen;5.2
2294;Giffers;5.7
2295;Bösingen;4.1
2296;Heitenried;5.2
2299;Plaffeien;4.7
23;Berg am Irchel;5.7
230;Winterthur;5.5
2300;Plasselb;4.4
2301;Rechthalten;3.9
2303;St. Silvester;4.8
2304;St. Ursen;5.6
2305;Schmitten (FR);5.4
2306;Tafers;6.4
2307;Tentlingen;4.3
2308;Ueberstorf;4.4
2309;Wünnewil-Flamatt;8.7
231;Zell (ZH);6.8
2321;Attalens;5.9
2323;Bossonnens;6.8
2325;Châtel-Saint-Denis;4.2
2328;Granges (Veveyse);6.8
2333;Remaufens;6.5
2335;Saint-Martin (FR);6.3
2336;Semsales;5.5
2337;Le Flon;8.5
2338;La Verrerie;7.1
24;Buch am Irchel;6.9
2401;Egerkingen;7.9
2402;Härkingen;6
2403;Kestenholz;5.3
2404;Neuendorf;5.4
2405;Niederbuchsiten;5.8
2406;Oberbuchsiten;5.6
2407;Oensingen;6.8
2408;Wolfwil;5.9
241;Aesch (ZH);4.1
242;Birmensdorf (ZH);6.2
2421;Aedermannsdorf;8.7
2422;Balsthal;7.4
2424;Herbetswil;8.5
2425;Holderbank (SO);5.7
2426;Laupersdorf;7
2427;Matzendorf;6.2
2428;Mümliswil-Ramiswil;7
243;Dietikon;6.8
2430;Welschenrohr-Gänsbrunnen;6.5
244;Geroldswil;7
2445;Biezwil;6.1
245;Oberengstringen;4.6
2455;Lüterkofen-Ichertswil;5.4
2457;Messen;7.4
246;Oetwil an der Limmat;4.1
2461;Schnottwil;2.1
2463;Unterramsern;4.2
2464;Lüsslingen-Nennigkofen;8.6
2465;Buchegg;4.2
247;Schlieren;6
2471;Bättwil;5.7
2472;Büren (SO);4.6
2473;Dornach;5.4
2474;Gempen;7.2
2475;Hochwald;6.4
2476;Hofstetten-Flüh;4.3
2477;Metzerlen-Mariastein;3.9
2478;Nuglar-St. Pantaleon;4.5
2479;Rodersdorf;8.6
248;Uitikon;5.1
2480;Seewen;3.8
2481;Witterswil;6.1
249;Unterengstringen;5.3
2491;Hauenstein-Ifenthal;9.5
2492;Kienberg;9
2493;Lostorf;4.8
2495;Niedergösgen;7.5
2497;Obergösgen;5.9
2499;Stüsslingen;4.7
25;Dachsen;5.8
250;Urdorf;5.1
2500;Trimbach;6.5
2501;Winznau;5.3
2502;Wisen (SO);3.5
2503;Erlinsbach (SO);5
251;Weiningen (ZH);7.6
2511;Aeschi (SO);3.8
2513;Biberist;5.7
2514;Bolken;5.9
2516;Deitingen;4.2
2517;Derendingen;5.2
2518;Etziken;4.9
2519;Gerlafingen;8.4
2520;Halten;4.4
2523;Horriwil;8.6
2524;Hüniken;4.7
2525;Kriegstetten;5.8
2526;Lohn-Ammannsegg;3.4
2527;Luterbach;4.5
2528;Obergerlafingen;5.2
2529;Oekingen;6.3
2530;Recherswil;4.7
2532;Subingen;4.9
2534;Zuchwil;4.9
2535;Drei Höfe;4.7
2541;Balm bei Günsberg;3.6
2542;Bellach;4.6
2543;Bettlach;4.2
2544;Feldbrunnen-St. Niklaus;3.8
2545;Flumenthal;2.6
2546;Grenchen;5.2
2547;Günsberg;3.7
2548;Hubersdorf;5.6
2549;Kammersrohr;6.7
2550;Langendorf;4
2551;Lommiswil;5.4
2553;Oberdorf (SO);4.8
2554;Riedholz;5.5
2555;Rüttenen;5
2556;Selzach;5.2
2571;Boningen;8.1
2572;Däniken;5.7
2573;Dulliken;7.3
2574;Eppenberg-Wöschnau;6.1
2575;Fulenbach;5.5
2576;Gretzenbach;7
2578;Gunzgen;4
2579;Hägendorf;6.9
2580;Kappel (SO);5.7
2581;Olten;3.6
2582;Rickenbach (SO);3.8
2583;Schönenwerd;6.4
2584;Starrkirch-Wil;4.3
2585;Walterswil (SO);5.1
2586;Wangen bei Olten;5.2
26;Dorf;3.6
