Municipality,Mean Income
Aeugst am Albis,88096.61172
Affoltern am Albis,61720.39727
Bonstetten,76270.82481
Hausen am Albis,83107.02519
Hedingen,80418.79028
Kappel am Albis,79659.14634
Knonau,72001.68209
Maschwanden,64214.69741
Mettmenstetten,74324.25386
Obfelden,66433.66902
Ottenbach,72260.30687
Rifferswil,79165.0519
Stallikon,85179.27142
Wettswil am Albis,99352.236
Adlikon,65570.65217
Benken (ZH),70089.89474
Berg am Irchel,103305.7637
Buch am Irchel,70956.34058
Dachsen,69675.88583
Dorf,68301.35135
Feuerthalen,64670.93023
Flaach,65169.35065
Flurlingen,75326.62791
Andelfingen,73672.08122
Henggart,65868.94061
Humlikon,77947.38956
Kleinandelfingen,67239.37341
Laufen-Uhwiesen,77928.45528
Marthalen,68436.36364
Ossingen,62099.58974
Rheinau,59930.74753
Thalheim an der Thur,68670.60998
Trüllikon,63250.25554
Truttikon,61218.65079
Volken,67688.94231
Bachenbülach,67637.40526
Bassersdorf,66229.30953
Bülach,61820.59853
Dietlikon,67710.18062
Eglisau,73262.41007
Embrach,60835.73364
Freienstein-Teufen,69080.98485
Glattfelden,63380.61768
Hochfelden,67956.98006
Höri,58087.25231
Hüntwangen,72232.59005
Kloten,58026.02812
Lufingen,79235.37214
Nürensdorf,82304.64464
Oberembrach,73588.46154
Opfikon,60865.08793
Rafz,66581.54907
Rorbas,61492.13406
Wallisellen,73745.99439
Wasterkingen,62955.98802
Wil (ZH),75803.15789
Winkel,108642.4343
Bachs,69092.28571
Boppelsen,97230.52632
Buchs (ZH),64633.0855
Dällikon,62347.02774
Dänikon,66989.25184
Dielsdorf,62730.68683
Hüttikon,98748.49188
Neerach,93922.23967
Niederglatt,61392.03704
Niederhasli,61793.91339
Niederweningen,70075.34743
Oberglatt,54770.55008
Oberweningen,70658.38207
Otelfingen,72727.50831
Regensberg,84380.47809
Regensdorf,60854.4278
Rümlang,60514.22961
Schleinikon,64950.60484
Schöfflisdorf,76080.9589
Stadel,65537.66716
Steinmaur,67230.76099
Weiach,59928.12777
Bäretswil,64423.72026
Bubikon,70260.48527
Dürnten,62033.86243
Fischenthal,55171.6954
Gossau (ZH),67363.3537
Grüningen,67024.50142
Hinwil,61512.26845
Rüti (ZH),55504.93088
Seegräben,67528.46154
Wald (ZH),53779.11482
Wetzikon (ZH),57975.33128
Adliswil,73608.78089
Kilchberg (ZH),133401.7646
Langnau am Albis,77272.83737
Oberrieden,97132.24744
Richterswil,75482.84939
Rüschlikon,125861.0353
Thalwil,91656.29506
Erlenbach (ZH),141324.0821
Herrliberg,136285.9791
Hombrechtikon,64546.6114
Küsnacht (ZH),141808.9747
Männedorf,86047.8048
Meilen,109450.1663
Oetwil am See,59368.542
Stäfa,82979.9388
Uetikon am See,93296.37121
Zumikon,145520.4377
Zollikon,135526.7378
Fehraltorf,68679.10832
Hittnau,68889.26853
Lindau,70679.699
Pfäffikon,67706.68671
Russikon,75710.94017
