Swiss Stats Map Explorer; ; 
Geografisches Bezugssystem: Bezirke 01.01.2023; ; 
Identifikator;Bezeichnung;ohne nachobligatorische Ausbildung  2019-2021
1001;La Broye;22.3
1002;La Glâne;25.2
1003;La Gruyère;27.8
1004;La Sarine;24.8
1005;See / Lac;N/A
1006;Sense;20.3
1007;La Veveyse;20
101;Affoltern;11.2
102;Andelfingen;9.7
103;Bülach;16.7
104;Dielsdorf;18.8
105;Hinwil;16.9
106;Horgen;11.4
107;Meilen;8.6
108;Pfäffikon;14.1
109;Uster;13.8
110;Winterthur;16.4
1101;Gäu;21.9
1102;Thal;23.5
1103;Bucheggberg;N/A
1104;Dorneck;11
1105;Gösgen;19.2
1106;Wasseramt;19.3
1107;Lebern;20.1
1108;Olten;19.5
1109;Solothurn;10.6
111;Dietikon;21
1110;Thierstein;21.8
112;Zürich;12.9
1200;Kt. Basel-Stadt;17.4
1301;Arlesheim;14.1
1302;Laufen;19.7
1303;Liestal;18.6
1304;Sissach;16.4
1305;Waldenburg;17.8
1401;Oberklettgau;N/A
1402;Reiat;N/A
1403;Schaffhausen;18.4
1404;Schleitheim;N/A
1405;Stein;N/A
1406;Unterklettgau;N/A
1501;Hinterland;19.2
1502;Mittelland;13.4
1503;Vorderland;16
1600;Kt. Appenzell i.Rh.;18.7
1721;St. Gallen;18.5
1722;Rorschach;18.7
1723;Rheintal;19.1
1724;Werdenberg;19.1
1725;Sarganserland;18.5
1726;See-Gaster;19
1727;Toggenburg;21.5
1728;Wil;19.1
1841;Albula;N/A
1842;Bernina;N/A
1843;Engiadina Bassa/Val Müstair;18.2
1844;Imboden;16.2
1845;Landquart;15.3
1846;Maloja;17.9
1847;Moesa;24.7
1848;Plessur;18.5
1849;Prättigau/Davos;15.9
1850;Surselva;21.3
1851;Viamala;18.4
1901;Aarau;16.3
1902;Baden;15.8
1903;Bremgarten;18.1
1904;Brugg;N/A
1905;Kulm;20.7
1906;Laufenburg;N/A
1907;Lenzburg;16.6
1908;Muri;15.5
1909;Rheinfelden;15.9
1910;Zofingen;19.6
1911;Zurzach;20.7
2011;Arbon;19.9
2012;Frauenfeld;16.7
2013;Kreuzlingen;14.4
2014;Münchwilen;17.8
2015;Weinfelden;16.8
2101;Bellinzona;22.9
2102;Blenio;22.1
2103;Leventina;26.2
2104;Locarno;21.7
2105;Lugano;19
2106;Mendrisio;21.5
2107;Riviera;32
2108;Vallemaggia;17.9
2221;Aigle;25.6
2222;Broye-Vully;29.8
2223;Gros-de-Vaud;16.4
2224;Jura-Nord vaudois;25.6
2225;Lausanne;21.9
2226;Lavaux-Oron;13.7
2227;Morges;16.9
2228;Nyon;14.4
2229;Ouest lausannois;29.7
2230;Riviera-Pays-d'Enhaut;20.1
2301;Brig;18.6
2302;Conthey;25
2303;Entremont;22.1
2304;Goms;N/A
2305;Hérens;22.1
2306;Leuk;23.7
2307;Martigny;26.6
2308;Monthey;26.6
2309;Raron;22.8
2310;Saint-Maurice;24.8
2311;Sierre;25.1
2312;Sion;23.8
2313;Visp;23.4
2400;Cant. de Neuchâtel;24
241;Jura bernois;23.3
242;Biel/Bienne;21.2
243;Seeland;15.2
244;Oberaargau;17
245;Emmental;16.9
246;Bern-Mittelland;N/A
247;Thun;14.2
248;Obersimmental-Saanen;22
249;Frutigen-Niedersimmental;16.4
250;Interlaken-Oberhasli;16.2
2500;Cant. de Genève;22.1
2601;Delémont;26.2
2602;Les Franches-Montagnes;21.6
2603;Porrentruy;26
311;Luzern-Stadt;15.7
312;Luzern-Land;15.4
313;Hochdorf;19.8
314;Sursee;15.2
315;Willisau;21.4
316;Entlebuch;23.1
400;Kt. Uri;23.3
501;Einsiedeln;18.4
502;Gersau;N/A
503;Höfe;12.4
504;Küssnacht (SZ);15.9
505;March;17.1
506;Schwyz;22.7
600;Kt. Obwalden;18.2
700;Kt. Nidwalden;15.7
800;Kt. Glarus;23
900;Kt. Zug;12.1
