operator,website,municipalityNumber,municipalityName,operatorAddress,operatorPostalCode,canton
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,1,Aeugst am Albis,"Dreikönigstrasse 18, Zürich",8002.000,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,2,Affoltern am Albis,"Dreikönigstrasse 18, Zürich",8002.000,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,2,Affoltern am Albis,"Dreikönigstrasse 18, Zürich",8002.000,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,3,Bonstetten,"Dreikönigstrasse 18, Zürich",8002.000,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,4,Hausen am Albis,"Dreikönigstrasse 18, Zürich",8002.000,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,4,Hausen am Albis,"Dreikönigstrasse 18, Zürich",8002.000,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,4,Hausen am Albis,"Dreikönigstrasse 18, Zürich",8002.000,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,5,Hedingen,"Dreikönigstrasse 18, Zürich",8002.000,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,6,Kappel am Albis,"Dreikönigstrasse 18, Zürich",8002.000,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,7,Knonau,"Dreikönigstrasse 18, Zürich",8002.000,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,8,Maschwanden,"Dreikönigstrasse 18, Zürich",8002.000,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,9,Mettmenstetten,"Dreikönigstrasse 18, Zürich",8002.000,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,10,Obfelden,"Dreikönigstrasse 18, Zürich",8002.000,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,10,Obfelden,"Dreikönigstrasse 18, Zürich",8002.000,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,11,Ottenbach,"Dreikönigstrasse 18, Zürich",8002.000,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,12,Rifferswil,"Dreikönigstrasse 18, Zürich",8002.000,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,13,Stallikon,"Dreikönigstrasse 18, Zürich",8002.000,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,13,Stallikon,"Dreikönigstrasse 18, Zürich",8002.000,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,14,Wettswil am Albis,"Dreikönigstrasse 18, Zürich",8002.000,ZH
