Swiss Stats Map Explorer; ; 
Geografisches Bezugssystem: Politische Gemeinden 01.01.2024; ; 
Identifikator;Bezeichnung;Anteil der Personen im Alter von 0 bis 19 Jahren 2024
1;Aeugst am Albis;19
10;Obfelden;22.5
100;Stadel;19.1
1001;Doppleschwand;22.8
1002;Entlebuch;21.6
1004;Flühli;20.5
1005;Hasle (LU);22.6
1007;Romoos;24.4
1008;Schüpfheim;22.2
1009;Werthenstein;23.8
101;Steinmaur;19.8
1010;Escholzmatt-Marbach;20.3
102;Weiach;20.7
1021;Aesch (LU);20.1
1023;Ballwil;21.2
1024;Emmen;20.2
1025;Ermensee;21.6
1026;Eschenbach (LU);21.1
1030;Hitzkirch;21.4
1031;Hochdorf;22
1032;Hohenrain;22.3
1033;Inwil;23.4
1037;Rain;24.7
1039;Römerswil;23.7
1040;Rothenburg;21.2
1041;Schongau;22.7
1051;Adligenswil;21.5
1052;Buchrain;22.3
1053;Dierikon;24.3
1054;Ebikon;20.9
1055;Gisikon;23.1
1056;Greppen;20.3
1057;Honau;15.9
1058;Horw;18.7
1059;Kriens;19.1
1061;Luzern;16.5
1062;Malters;21.6
1063;Meggen;17.4
1064;Meierskappel;25.5
1065;Root;21.5
1066;Schwarzenberg;22.7
1067;Udligenswil;21.3
1068;Vitznau;15.2
1069;Weggis;14.5
1081;Beromünster;23.3
1082;Büron;20.8
1083;Buttisholz;24.6
1084;Eich;17.7
1085;Geuensee;23.6
1086;Grosswangen;24.2
1088;Hildisrieden;21.7
1089;Knutwil;22.5
1091;Mauensee;20.3
1093;Neuenkirch;21.6
1094;Nottwil;23.2
1095;Oberkirch;22.8
1097;Rickenbach (LU);22.9
1098;Ruswil;22.1
1099;Schenkon;21.7
11;Ottenbach;21
1100;Schlierbach;25.7
1102;Sempach;22.6
1103;Sursee;19.2
1104;Triengen;22.5
1107;Wolhusen;22.1
111;Bäretswil;21.2
112;Bubikon;20.9
1121;Alberswil;20.1
1122;Altbüron;21.7
1123;Altishofen;23.7
1125;Dagmersellen;22.2
1127;Egolzwil;21.1
1128;Ettiswil;23.6
1129;Fischbach;19.9
113;Dürnten;21
1131;Grossdietwil;17.8
1132;Hergiswil bei Willisau;23.1
1135;Luthern;21.6
1136;Menznau;22.9
1137;Nebikon;22.2
1139;Pfaffnau;21.3
114;Fischenthal;22.1
1140;Reiden;20.7
1142;Roggliswil;21.2
1143;Schötz;24.3
1145;Ufhusen;20.5
1146;Wauwil;21.1
1147;Wikon;22.3
115;Gossau (ZH);20.5
1150;Zell (LU);21
1151;Willisau;21.7
116;Grüningen;20.4
117;Hinwil;19.7
118;Rüti (ZH);19.6
119;Seegräben;20.8
12;Rifferswil;25.3
120;Wald (ZH);19.8
1201;Altdorf (UR);18.8
1202;Andermatt;13.8
1203;Attinghausen;23.2
1205;Bürglen (UR);20
1206;Erstfeld;21.1
1207;Flüelen;17.8
1208;Göschenen;12.2
1209;Gurtnellen;11.9
121;Wetzikon (ZH);20.3
1210;Hospental;11.7
1211;Isenthal;22.2
1212;Realp;11.4
1213;Schattdorf;21
1214;Seedorf (UR);25.1
1215;Seelisberg;14
1216;Silenen;18.8
1217;Sisikon;16.7
1218;Spiringen;21.3
1219;Unterschächen;24.8
1220;Wassen;18.3
13;Stallikon;21.9
1301;Einsiedeln;19.4
131;Adliswil;20.6
1311;Gersau;15
1321;Feusisberg;16.9
1322;Freienbach;17.3
1323;Wollerau;17.1
1331;Küssnacht (SZ);18.9
1341;Altendorf;18.5
1342;Galgenen;20.5
1343;Innerthal;15.2
1344;Lachen;19.4
1345;Reichenburg;22.2
1346;Schübelbach;20.8
1347;Tuggen;19.3
1348;Vorderthal;16.6
1349;Wangen (SZ);18.9
135;Kilchberg (ZH);22
136;Langnau am Albis;21.8
1361;Alpthal;15.7
1362;Arth;20.1
1363;Illgau;24
1364;Ingenbohl;17.2
1365;Lauerz;23.1
1366;Morschach;18.5
1367;Muotathal;22.4
1368;Oberiberg;15.8
1369;Riemenstalden;29.4
137;Oberrieden;20.1
1370;Rothenthurm;23.3
1371;Sattel;21.6
1372;Schwyz;18.4
1373;Steinen;21.6
1374;Steinerberg;21.3
1375;Unteriberg;19.2
138;Richterswil;21.5
139;Rüschlikon;22.4
14;Wettswil am Albis;23.1
1401;Alpnach;20.4
1402;Engelberg;15.3
1403;Giswil;21.1
1404;Kerns;21.6
1405;Lungern;19.8
1406;Sachseln;20.2
1407;Sarnen;18.8
141;Thalwil;20.3
1501;Beckenried;19.2
1502;Buochs;18.7
1503;Dallenwil;19.8
1504;Emmetten;15.8
1505;Ennetbürgen;16.7
1506;Ennetmoos;20.9
1507;Hergiswil (NW);15.2
1508;Oberdorf (NW);20.6
1509;Stans;17.9
