Swiss Stats Map Explorer; ; 
Geografisches Bezugssystem: Politische Gemeinden 01.01.2024; ; 
Identifikator;Bezeichnung;Anteil der Personen im Alter von 65 oder mehr Jahren 2024
1;Aeugst am Albis;22.2
10;Obfelden;18.1
100;Stadel;17.7
1001;Doppleschwand;17.4
1002;Entlebuch;19
1004;Flühli;22.5
1005;Hasle (LU);18.3
1007;Romoos;21.9
1008;Schüpfheim;21.3
1009;Werthenstein;16
101;Steinmaur;18.8
1010;Escholzmatt-Marbach;22.7
102;Weiach;14.5
1021;Aesch (LU);18.5
1023;Ballwil;19.3
1024;Emmen;18
1025;Ermensee;16.6
1026;Eschenbach (LU);19.4
1030;Hitzkirch;19
1031;Hochdorf;20.2
1032;Hohenrain;19.9
1033;Inwil;15.3
1037;Rain;15.1
1039;Römerswil;16.1
1040;Rothenburg;21
1041;Schongau;17.2
1051;Adligenswil;25.2
1052;Buchrain;17.1
1053;Dierikon;14.7
1054;Ebikon;19.4
1055;Gisikon;13.9
1056;Greppen;18.5
1057;Honau;14
1058;Horw;21.5
1059;Kriens;20.9
1061;Luzern;19.3
1062;Malters;17
1063;Meggen;28.1
1064;Meierskappel;15.1
1065;Root;13.3
1066;Schwarzenberg;19
1067;Udligenswil;21.7
1068;Vitznau;24.5
1069;Weggis;27.7
1081;Beromünster;16.9
1082;Büron;14.9
1083;Buttisholz;16.9
1084;Eich;22.7
1085;Geuensee;16.7
1086;Grosswangen;16.1
1088;Hildisrieden;21.8
1089;Knutwil;15.9
1091;Mauensee;16.8
1093;Neuenkirch;18
1094;Nottwil;15.9
1095;Oberkirch;16.3
1097;Rickenbach (LU);16.4
1098;Ruswil;18.4
1099;Schenkon;17.4
11;Ottenbach;22.3
1100;Schlierbach;14.9
1102;Sempach;20.1
1103;Sursee;19
1104;Triengen;16.9
1107;Wolhusen;17.4
111;Bäretswil;22.2
112;Bubikon;21.2
1121;Alberswil;13.1
1122;Altbüron;17.2
1123;Altishofen;13.5
1125;Dagmersellen;16.2
1127;Egolzwil;15.6
1128;Ettiswil;16.7
1129;Fischbach;17.4
113;Dürnten;19.4
1131;Grossdietwil;18.4
1132;Hergiswil bei Willisau;20.5
1135;Luthern;20.6
1136;Menznau;17.8
1137;Nebikon;16.3
1139;Pfaffnau;17.9
114;Fischenthal;16.9
1140;Reiden;18.1
1142;Roggliswil;14.8
1143;Schötz;13.9
1145;Ufhusen;18.8
1146;Wauwil;17.2
1147;Wikon;19.4
115;Gossau (ZH);21.1
1150;Zell (LU);19.3
1151;Willisau;21.3
116;Grüningen;20.1
117;Hinwil;21.2
118;Rüti (ZH);20.2
119;Seegräben;19.2
12;Rifferswil;19
120;Wald (ZH);19.8
1201;Altdorf (UR);22.1
1202;Andermatt;23.2
1203;Attinghausen;17.6
1205;Bürglen (UR);21.8
1206;Erstfeld;23.4
1207;Flüelen;22.6
1208;Göschenen;29
1209;Gurtnellen;29.8
121;Wetzikon (ZH);18.3
1210;Hospental;21.1
1211;Isenthal;21.6
1212;Realp;30.9
1213;Schattdorf;23.6
1214;Seedorf (UR);20.1
1215;Seelisberg;31.7
1216;Silenen;23
1217;Sisikon;15.9
1218;Spiringen;21.6
1219;Unterschächen;20.4
1220;Wassen;24.1
13;Stallikon;18
1301;Einsiedeln;20.9
131;Adliswil;17.8
1311;Gersau;25.2
1321;Feusisberg;19.5
1322;Freienbach;20.6
1323;Wollerau;22.4
1331;Küssnacht (SZ);21
1341;Altendorf;18.8
1342;Galgenen;17.6
1343;Innerthal;21.5
1344;Lachen;20.1
1345;Reichenburg;14.2
1346;Schübelbach;17.6
1347;Tuggen;17.9
1348;Vorderthal;21.7
1349;Wangen (SZ);20.1
135;Kilchberg (ZH);17.5
136;Langnau am Albis;20.4
1361;Alpthal;18.7
1362;Arth;18.2
1363;Illgau;15.2
1364;Ingenbohl;24.8
1365;Lauerz;15.8
1366;Morschach;15.4
1367;Muotathal;19.6
1368;Oberiberg;33
1369;Riemenstalden;21.2
137;Oberrieden;24.3
1370;Rothenthurm;14.1
1371;Sattel;15.8
1372;Schwyz;20
1373;Steinen;17.1
1374;Steinerberg;18.4
1375;Unteriberg;20.2
138;Richterswil;20.7
139;Rüschlikon;18.2
14;Wettswil am Albis;20.5
1401;Alpnach;18.3
1402;Engelberg;23.9
1403;Giswil;20.2
1404;Kerns;19.1
1405;Lungern;23.5
1406;Sachseln;21.7
1407;Sarnen;23.7
141;Thalwil;19.4
1501;Beckenried;22.6
1502;Buochs;22.1
1503;Dallenwil;20.7
1504;Emmetten;23.3
1505;Ennetbürgen;25.7
1506;Ennetmoos;17.3
1507;Hergiswil (NW);23.9
1508;Oberdorf (NW);21.4
1509;Stans;22.8
151;Erlenbach (ZH);21.6
1510;Stansstad;27.8
1511;Wolfenschiessen;20.4
152;Herrliberg;22.5
153;Hombrechtikon;22.6
154;Küsnacht (ZH);23.1
155;Männedorf;21.4
156;Meilen;21.3
157;Oetwil am See;16.2
158;Stäfa;24.5
159;Uetikon am See;20.7
160;Zumikon;23.4
161;Zollikon;22
1630;Glarus Nord;19.1
1631;Glarus Süd;27.8
1632;Glarus;21.3
1701;Baar;18.2
1702;Cham;17
1703;Hünenberg;19.5
1704;Menzingen;21.2
1705;Neuheim;17
1706;Oberägeri;20.6
1707;Risch;15.5
1708;Steinhausen;19.8
1709;Unterägeri;20.3
1710;Walchwil;22
1711;Zug;18.1
172;Fehraltorf;19.4
173;Hittnau;18.2
176;Lindau;18.9
177;Pfäffikon;21.7
178;Russikon;21.9
180;Weisslingen;21.3
181;Wila;20.1
182;Wildberg;18.5
191;Dübendorf;15
192;Egg;22.9
193;Fällanden;18.5
194;Greifensee;21.7
195;Maur;21.1
196;Mönchaltorf;22.5
197;Schwerzenbach;18.1
198;Uster;18.6
199;Volketswil;17.1
2;Affoltern am Albis;19.7
200;Wangen-Brüttisellen;16.3
2008;Châtillon (FR);14.4
2011;Cugy (FR);15.1
2016;Fétigny;13
2022;Gletterens;19.7
2025;Lully (FR);14.2
2027;Ménières;14.6
2029;Montagny (FR);15.1
2035;Nuvilly;12.9
2038;Prévondavaux;13.3
2041;Saint-Aubin (FR);14.3
2043;Sévaz;13.8
2044;Surpierre;17.2
2045;Vallon;14.4
2050;Les Montets;15.1
2051;Delley-Portalban;19.3
2053;Belmont-Broye;14.2
2054;Estavayer;18.3
2055;Cheyres-Châbles;20
2061;Auboranges;15.7
2063;Billens-Hennens;17.2
2066;Chapelle (Glâne);20.5
2067;Le Châtelard;19.2
2068;Châtonnaye;15.2
2072;Ecublens (FR);12.8
2079;Grangettes;10.8
2086;Massonnens;17.4
