Swiss Stats Map Explorer; ; 
Geografisches Bezugssystem: Politische Gemeinden 01.01.2024; ; 
Identifikator;Bezeichnung;Anzahl der Personen im Alter von 80 oder mehr Jahren 2024
1;Aeugst am Albis;99
10;Obfelden;273
100;Stadel;118
1001;Doppleschwand;40
1002;Entlebuch;188
1004;Flühli;115
1005;Hasle (LU);107
1007;Romoos;30
1008;Schüpfheim;288
1009;Werthenstein;90
101;Steinmaur;193
1010;Escholzmatt-Marbach;284
102;Weiach;64
1021;Aesch (LU);62
1023;Ballwil;132
1024;Emmen;1610
1025;Ermensee;33
1026;Eschenbach (LU);217
1030;Hitzkirch;265
1031;Hochdorf;645
1032;Hohenrain;95
1033;Inwil;115
1037;Rain;116
1039;Römerswil;58
1040;Rothenburg;446
1041;Schongau;43
1051;Adligenswil;364
1052;Buchrain;256
1053;Dierikon;39
1054;Ebikon;848
1055;Gisikon;31
1056;Greppen;39
1057;Honau;13
1058;Horw;1181
1059;Kriens;2085
1061;Luzern;5573
1062;Malters;345
1063;Meggen;724
1064;Meierskappel;57
1065;Root;208
1066;Schwarzenberg;84
1067;Udligenswil;134
1068;Vitznau;96
1069;Weggis;405
1081;Beromünster;327
1082;Büron;92
1083;Buttisholz;164
1084;Eich;92
1085;Geuensee;93
1086;Grosswangen;139
1088;Hildisrieden;124
1089;Knutwil;105
1091;Mauensee;43
1093;Neuenkirch;291
1094;Nottwil;161
1095;Oberkirch;198
1097;Rickenbach (LU);171
1098;Ruswil;340
1099;Schenkon;119
11;Ottenbach;155
1100;Schlierbach;34
1102;Sempach;219
1103;Sursee;643
1104;Triengen;210
1107;Wolhusen;222
111;Bäretswil;304
112;Bubikon;435
1121;Alberswil;25
1122;Altbüron;45
1123;Altishofen;73
1125;Dagmersellen;255
1127;Egolzwil;36
1128;Ettiswil;118
1129;Fischbach;36
113;Dürnten;412
1131;Grossdietwil;43
1132;Hergiswil bei Willisau;96
1135;Luthern;75
1136;Menznau;163
1137;Nebikon;97
1139;Pfaffnau;121
114;Fischenthal;80
1140;Reiden;396
1142;Roggliswil;36
1143;Schötz;161
1145;Ufhusen;55
1146;Wauwil;81
1147;Wikon;69
115;Gossau (ZH);617
1150;Zell (LU);124
1151;Willisau;561
116;Grüningen;205
117;Hinwil;728
118;Rüti (ZH);764
119;Seegräben;67
12;Rifferswil;44
120;Wald (ZH);546
1201;Altdorf (UR);681
1202;Andermatt;100
1203;Attinghausen;81
1205;Bürglen (UR);243
1206;Erstfeld;323
1207;Flüelen;128
1208;Göschenen;43
1209;Gurtnellen;35
121;Wetzikon (ZH);1523
1210;Hospental;12
1211;Isenthal;28
1212;Realp;7
1213;Schattdorf;312
1214;Seedorf (UR);98
1215;Seelisberg;43
1216;Silenen;125
1217;Sisikon;17
1218;Spiringen;44
1219;Unterschächen;31
1220;Wassen;42
13;Stallikon;177
1301;Einsiedeln;893
131;Adliswil;1268
1311;Gersau;148
1321;Feusisberg;267
1322;Freienbach;1021
1323;Wollerau;402
1331;Küssnacht (SZ);808
1341;Altendorf;328
1342;Galgenen;236
1343;Innerthal;12
1344;Lachen;566
1345;Reichenburg;147
1346;Schübelbach;361
1347;Tuggen;147
1348;Vorderthal;45
1349;Wangen (SZ);288
135;Kilchberg (ZH);611
136;Langnau am Albis;591
1361;Alpthal;23
1362;Arth;633
1363;Illgau;31
1364;Ingenbohl;759
1365;Lauerz;36
1366;Morschach;44
1367;Muotathal;174
1368;Oberiberg;60
1369;Riemenstalden;8
137;Oberrieden;432
1370;Rothenthurm;71
1371;Sattel;84
1372;Schwyz;930
1373;Steinen;161
1374;Steinerberg;47
1375;Unteriberg;97
138;Richterswil;884
139;Rüschlikon;420
14;Wettswil am Albis;341
1401;Alpnach;291
1402;Engelberg;302
1403;Giswil;205
1404;Kerns;281
1405;Lungern;148
