Swiss Stats Map Explorer; ; 
Geografisches Bezugssystem: Politische Gemeinden 01.01.2024; ; 
Identifikator;Bezeichnung;Bevölkerungsdichte (Gesamtfläche) 2024
1;Aeugst am Albis;252.2
10;Obfelden;790.6
100;Stadel;190.5
1001;Doppleschwand;118.6
1002;Entlebuch;60.1
1004;Flühli;17.2
1005;Hasle (LU);45.7
1007;Romoos;17.7
1008;Schüpfheim;111.5
1009;Werthenstein;138
101;Steinmaur;395.7
1010;Escholzmatt-Marbach;42.8
102;Weiach;221.6
1021;Aesch (LU);315.2
1023;Ballwil;323.8
1024;Emmen;1601.3
1025;Ermensee;183.5
1026;Eschenbach (LU);286.1
1030;Hitzkirch;220.5
1031;Hochdorf;1045.4
1032;Hohenrain;106
1033;Inwil;283.3
1037;Rain;351.8
1039;Römerswil;107.7
1040;Rothenburg;507.6
1041;Schongau;86
1051;Adligenswil;803.6
1052;Buchrain;1418.1
1053;Dierikon;606.1
1054;Ebikon;1527.7
1055;Gisikon;1402.8
1056;Greppen;367.2
1057;Honau;463.2
1058;Horw;1229.9
1059;Kriens;1099.2
1061;Luzern;2962.3
1062;Malters;275.4
1063;Meggen;1072.2
1064;Meierskappel;234.9
1065;Root;701
1066;Schwarzenberg;46.2
1067;Udligenswil;397.9
1068;Vitznau;165.5
1069;Weggis;399.2
1081;Beromünster;162.1
1082;Büron;515.5
1083;Buttisholz;208.6
1084;Eich;294.6
1085;Geuensee;454.6
1086;Grosswangen;178.9
1088;Hildisrieden;355.4
1089;Knutwil;258.3
1091;Mauensee;209.1
1093;Neuenkirch;283.7
1094;Nottwil;398.8
1095;Oberkirch;561.1
1097;Rickenbach (LU);327.8
1098;Ruswil;166.7
1099;Schenkon;462.5
11;Ottenbach;592.2
1100;Schlierbach;140.6
1102;Sempach;491.6
1103;Sursee;1891.8
1104;Triengen;222.9
1107;Wolhusen;332.2
111;Bäretswil;232
112;Bubikon;659.9
1121;Alberswil;208.2
1122;Altbüron;150.2
1123;Altishofen;143.6
1125;Dagmersellen;251.5
1127;Egolzwil;398.1
1128;Ettiswil;230.8
1129;Fischbach;89.9
113;Dürnten;787.5
1131;Grossdietwil;90.2
1132;Hergiswil bei Willisau;62
1135;Luthern;32.8
1136;Menznau;103.8
1137;Nebikon;788.5
1139;Pfaffnau;157.1
114;Fischenthal;88.2
1140;Reiden;283.9
1142;Roggliswil;127.4
1143;Schötz;325.1
1145;Ufhusen;75.3
1146;Wauwil;898.6
1147;Wikon;181.5
115;Gossau (ZH);580.8
1150;Zell (LU);158.5
1151;Willisau;195.7
116;Grüningen;442.1
117;Hinwil;536.8
118;Rüti (ZH);1289.4
119;Seegräben;387.3
12;Rifferswil;181.3
120;Wald (ZH);420.3
1201;Altdorf (UR);1024.4
1202;Andermatt;25.3
1203;Attinghausen;38.1
1205;Bürglen (UR);73.5
1206;Erstfeld;67
1207;Flüelen;167.3
1208;Göschenen;4.4
1209;Gurtnellen;5.8
121;Wetzikon (ZH);1604.8
1210;Hospental;5.1
1211;Isenthal;7.5
1212;Realp;1.9
1213;Schattdorf;336.9
1214;Seedorf (UR);106.7
1215;Seelisberg;55.4
1216;Silenen;14.1
1217;Sisikon;24
1218;Spiringen;13.6
1219;Unterschächen;9.3
1220;Wassen;4.4
13;Stallikon;325.2
1301;Einsiedeln;167.1
131;Adliswil;2560.2
1311;Gersau;171.6
1321;Feusisberg;320
1322;Freienbach;1233.9
1323;Wollerau;1203.8
1331;Küssnacht (SZ);481.6
1341;Altendorf;363.8
1342;Galgenen;411.7
1343;Innerthal;3.8
1344;Lachen;3905.3
1345;Reichenburg;359.6
1346;Schübelbach;336.3
1347;Tuggen;256.8
1348;Vorderthal;37
1349;Wangen (SZ);659.9
135;Kilchberg (ZH);3675.6
136;Langnau am Albis;948.6
1361;Alpthal;27.6
1362;Arth;298
1363;Illgau;75
1364;Ingenbohl;712.5
1365;Lauerz;125.2
1366;Morschach;66.1
1367;Muotathal;20.8
1368;Oberiberg;27.6
1369;Riemenstalden;7.6
137;Oberrieden;1932.6
1370;Rothenthurm;114.1
1371;Sattel;118.8
1372;Schwyz;309.3
1373;Steinen;318.5
1374;Steinerberg;139.5
1375;Unteriberg;53.3
138;Richterswil;1909.4
139;Rüschlikon;2186.3
14;Wettswil am Albis;1415.6
1401;Alpnach;121
1402;Engelberg;59
1403;Giswil;46.4
1404;Kerns;70.4
1405;Lungern;44.6
1406;Sachseln;98.3
1407;Sarnen;148.6
141;Thalwil;3359.9
1501;Beckenried;153.1
1502;Buochs;550.5
1503;Dallenwil;120.9
1504;Emmetten;66.9
1505;Ennetbürgen;571.6
1506;Ennetmoos;166.2
1507;Hergiswil (NW);440.3
1508;Oberdorf (NW);191.3
1509;Stans;767.9
151;Erlenbach (ZH);1904.8
1510;Stansstad;542.7
1511;Wolfenschiessen;22.9
152;Herrliberg;754.2
153;Hombrechtikon;752.7
154;Küsnacht (ZH);1227.2
155;Männedorf;2466.9
156;Meilen;1243.6
157;Oetwil am See;842.9
158;Stäfa;1763.9
159;Uetikon am See;1925.7
160;Zumikon;1050
161;Zollikon;1730.4
1630;Glarus Nord;134.8
1631;Glarus Süd;22.5
1632;Glarus;124.3
1701;Baar;1006.2
1702;Cham;1030.6
1703;Hünenberg;487.3
1704;Menzingen;170.8
1705;Neuheim;318.7
1706;Oberägeri;219
1707;Risch;785.6
1708;Steinhausen;2063.3
1709;Unterägeri;370.8
1710;Walchwil;295.1
1711;Zug;1485.1
172;Fehraltorf;726.8
173;Hittnau;306.6
176;Lindau;489.7
177;Pfäffikon;653.2
178;Russikon;326.1
180;Weisslingen;272.9
181;Wila;229.9
182;Wildberg;95.8
191;Dübendorf;2391.4
192;Egg;606.7
193;Fällanden;1510.5
194;Greifensee;2346.8
195;Maur;736.9
196;Mönchaltorf;567.9
197;Schwerzenbach;1981.1
198;Uster;1283.4
199;Volketswil;1414.1
2;Affoltern am Albis;1216.4
200;Wangen-Brüttisellen;1047
2008;Châtillon (FR);412.5
2011;Cugy (FR);205.5
2016;Fétigny;313.2
2022;Gletterens;390.9
2025;Lully (FR);222.1
2027;Ménières;101.6
2029;Montagny (FR);173.2
2035;Nuvilly;125.1
2038;Prévondavaux;62.1
2041;Saint-Aubin (FR);257.3
2043;Sévaz;127.2
2044;Surpierre;82.5
2045;Vallon;152.1
2050;Les Montets;152.8
2051;Delley-Portalban;182.4
2053;Belmont-Broye;238.3
2054;Estavayer;263.1
2055;Cheyres-Châbles;254
2061;Auboranges;145.6
2063;Billens-Hennens;184.7
2066;Chapelle (Glâne);168
2067;Le Châtelard;48.6
2068;Châtonnaye;136.3
2072;Ecublens (FR);81.6
2079;Grangettes;64
2086;Massonnens;138.9
2087;Mézières (FR);130.2
2089;Montet (Glâne);251.8
2096;Romont (FR);562.4
2097;Rue;144.5
2099;Siviriez;131.9
2102;Ursy;234.6
211;Altikon;100.5
2113;Vuisternens-devant-Romont;99.2
2114;Villorsonnens;99.9
2115;Torny;107.6
2117;Villaz;156.1
2121;Haut-Intyamon;29.4
2122;Pont-en-Ogoz;200.6
2123;Botterens;177.8
2124;Broc;283.9
2125;Bulle;1135.8
2128;Châtel-sur-Montsalvens;176.4
2129;Corbières;108.3
213;Brütten;340.5
2130;Crésuz;271.5
2131;Echarlens;181.5
2134;Grandvillard;37.1
2135;Gruyères;82.2
2137;Hauteville;70.6
2138;Jaun;11.9
214;Dägerlen;145.8
2140;Marsens;271.7
2143;Morlon;292
2145;Le Pâquier (FR);308
2147;Pont-la-Ville;139
2148;Riaz;378.3
2149;La Roche;81.4
215;Dättlikon;291.3
2152;Sâles;77.9
2153;Sorens;126.6
2155;Vaulruz;111.9
216;Dinhard;244.8
2160;Vuadens;246.8
2162;Bas-Intyamon;51.8
2163;Val-de-Charmey;24.4
2173;Autigny;135
2174;Avry;334.3
2175;Belfaux;388.7
2177;Chénens;224.9
218;Ellikon an der Thur;204
2183;Corminboeuf;418.9
2186;Cottens (FR);307.6
219;Elsau;483
2194;Ferpicloz;243.1
2196;Fribourg;4214.3
2197;Givisiez;999.1
2198;Granges-Paccot;998.2
22;Benken (ZH);156
220;Hagenbuch;143.7
2200;Grolley;395.7
2206;Marly;1197.2
2208;Matran;655
221;Hettlingen;546.9
2211;Neyruz (FR);518.8
2216;Pierrafortscha;29.6
2217;Ponthaux;133.3
2220;Le Mouret;180.7
2226;Treyvaux;144
2228;Villars-sur-Glâne;2282.3
223;Neftenbach;382.5
2230;Villarsel-sur-Marly;49.6
2233;Hauterive (FR);225.1
2234;La Brillaz;214.4
2235;La Sonnaz;209.5
2236;Gibloux;232.8
2237;Prez;153.6
2238;Bois-d'Amont;197.2
224;Pfungen;831.7
225;Rickenbach (ZH);473.4
2250;Courgevaux;431.4
2254;Courtepin;263.3
2257;Cressier (FR);265.9
2258;Fräschels;143.1
226;Schlatt (ZH);87.5
2261;Greng;183.3
2262;Gurmels;269.9
2265;Kerzers;445.1
2266;Kleinbösingen;233.4
227;Seuzach;1056.9
2271;Meyriez;1673.5
2272;Misery-Courtion;211.8
2274;Muntelier;884.7
2275;Murten;262.3
2276;Ried bei Kerzers;163.8
2278;Ulmiz;149.6
228;Turbenthal;210.2
2284;Mont-Vully;260.3
2292;Brünisried;222.8
2293;Düdingen;296.4
2294;Giffers;326.2
2295;Bösingen;234.6
2296;Heitenried;153.8
2299;Plaffeien;55.5
23;Berg am Irchel;84
230;Winterthur;1768.4
2300;Plasselb;59.9
2301;Rechthalten;159.6
2303;St. Silvester;151.1
2304;St. Ursen;90.3
2305;Schmitten (FR);317.6
2306;Tafers;194.1
2307;Tentlingen;382.8
2308;Ueberstorf;151
2309;Wünnewil-Flamatt;438.1
231;Zell (ZH);525
2321;Attalens;379.2
2323;Bossonnens;386.7
2325;Châtel-Saint-Denis;183.3
2328;Granges (Veveyse);218.6
2333;Remaufens;241.5
2335;Saint-Martin (FR);106.6
2336;Semsales;53.4
2337;Le Flon;126.5
2338;La Verrerie;100.5
24;Buch am Irchel;104.4
2401;Egerkingen;620.3
2402;Härkingen;323.2
2403;Kestenholz;219.3
2404;Neuendorf;335.6
2405;Niederbuchsiten;244.3
2406;Oberbuchsiten;256.2
2407;Oensingen;563.4
2408;Wolfwil;355.1
241;Aesch (ZH);316.6
242;Birmensdorf (ZH);646.2
2421;Aedermannsdorf;45.9
2422;Balsthal;417.6
2424;Herbetswil;37.3
2425;Holderbank (SO);100.4
2426;Laupersdorf;121.3
2427;Matzendorf;125
2428;Mümliswil-Ramiswil;69.9
243;Dietikon;3029.4
2430;Welschenrohr-Gänsbrunnen;49.4
244;Geroldswil;2752.3
2445;Biezwil;83.1
245;Oberengstringen;3215.8
2455;Lüterkofen-Ichertswil;203.6
2457;Messen;126
246;Oetwil an der Limmat;928.9
2461;Schnottwil;164
2463;Unterramsern;142.4
2464;Lüsslingen-Nennigkofen;146.5
2465;Buchegg;115.6
247;Schlieren;3094.2
2471;Bättwil;713.8
2472;Büren (SO);172.9
2473;Dornach;1191.9
2474;Gempen;155.9
2475;Hochwald;153.5
2476;Hofstetten-Flüh;452.4
2477;Metzerlen-Mariastein;116.5
2478;Nuglar-St. Pantaleon;245
2479;Rodersdorf;263.2
248;Uitikon;1301.1
2480;Seewen;66.7
2481;Witterswil;561.8
249;Unterengstringen;1300.9
2491;Hauenstein-Ifenthal;63.7
2492;Kienberg;61.7
2493;Lostorf;311.6
2495;Niedergösgen;985
2497;Obergösgen;686
2499;Stüsslingen;150.1
25;Dachsen;713.3
250;Urdorf;1385.6
2500;Trimbach;901.8
2501;Winznau;521.1
2502;Wisen (SO);91.4
2503;Erlinsbach (SO);421.2
251;Weiningen (ZH);949.4
2511;Aeschi (SO);242.3
2513;Biberist;779.2
2514;Bolken;272.2
2516;Deitingen;307.6
2517;Derendingen;1269.2
2518;Etziken;317.2
2519;Gerlafingen;3167
2520;Halten;454.6
2523;Horriwil;357.2
2524;Hüniken;157.8
2525;Kriegstetten;1268.4
2526;Lohn-Ammannsegg;657.8
2527;Luterbach;823.9
2528;Obergerlafingen;838.4
2529;Oekingen;374.1
2530;Recherswil;655.4
2532;Subingen;526.2
2534;Zuchwil;2076.9
2535;Drei Höfe;160.2
2541;Balm bei Günsberg;42
2542;Bellach;1050.3
2543;Bettlach;409.1
2544;Feldbrunnen-St. Niklaus;426.7
2545;Flumenthal;338.3
2546;Grenchen;714.6
2547;Günsberg;229.1
2548;Hubersdorf;532.6
2549;Kammersrohr;33.7
2550;Langendorf;1991.3
2551;Lommiswil;280.9
2553;Oberdorf (SO);152.6
2554;Riedholz;323.1
2555;Rüttenen;174.7
2556;Selzach;189.5
2571;Boningen;294.6
2572;Däniken;565.9
2573;Dulliken;902.3
2574;Eppenberg-Wöschnau;187.8
2575;Fulenbach;406.5
2576;Gretzenbach;478.4
2578;Gunzgen;431.6
2579;Hägendorf;380.1
2580;Kappel (SO);698.4
2581;Olten;1658.1
2582;Rickenbach (SO);438.8
2583;Schönenwerd;1438.5
2584;Starrkirch-Wil;1070.3
2585;Walterswil (SO);172.3
2586;Wangen bei Olten;794.8
26;Dorf;130.9
2601;Solothurn;2682.6
261;Zürich;4964.8
2611;Bärschwil;71.1
2612;Beinwil (SO);11.6
2613;Breitenbach;642.1
2614;Büsserach;324.5
2615;Erschwil;130.1
2616;Fehren;405.4
2617;Grindel;168.5
2618;Himmelried;159.9
2619;Kleinlützel;73.3
2620;Meltingen;109.5
2621;Nunningen;192.3
2622;Zullwil;191.5
27;Feuerthalen;1551.6
2701;Basel;7445.3
2702;Bettingen;573.5
2703;Riehen;2073
2761;Aesch (BL);1505
2762;Allschwil;2492.1
2763;Arlesheim;1344
2764;Biel-Benken;845.9
2765;Binningen;3599.3
2766;Birsfelden;4161.4
2767;Bottmingen;2345.8
2768;Ettingen;880.9
2769;Münchenstein;1732.5
2770;Muttenz;1088.3
2771;Oberwil (BL);1448.7
2772;Pfeffingen;493.5
2773;Reinach (BL);2968.4
2774;Schönenbuch;1106.7
2775;Therwil;1321.8
2781;Blauen;99.3
2782;Brislach;188.1
2783;Burg im Leimental;100.7
2784;Dittingen;109.6
2785;Duggingen;276.6
2786;Grellingen;595.1
2787;Laufen;531.1
2788;Liesberg;88.7
2789;Nenzlingen;127.9
2790;Roggenburg;36.9
2791;Röschenz;192.8
2792;Wahlen;294.3
2793;Zwingen;617.8
28;Flaach;146.9
2821;Arisdorf;173.4
2822;Augst;658.8
2823;Bubendorf;419.8
2824;Frenkendorf;1449
2825;Füllinsdorf;1023.8
2826;Giebenach;847.8
2827;Hersberg;236.7
2828;Lausen;1056.7
2829;Liestal;882
2830;Lupsingen;503.2
2831;Pratteln;1547.7
2832;Ramlinsburg;325.3
2833;Seltisberg;369.7
2834;Ziefen;218.4
2841;Anwil;138.5
2842;Böckten;375.9
2843;Buckten;357.5
2844;Buus;128.1
2845;Diepflingen;579.9
2846;Gelterkinden;660.3
2847;Häfelfingen;62
2848;Hemmiken;77.6
2849;Itingen;790.1
2850;Känerkinden;359.5
2851;Kilchberg (BL);114.5
2852;Läufelfingen;173.4
2853;Maisprach;188.2
2854;Nusshof;161
2855;Oltingen;73.3
2856;Ormalingen;342.7
2857;Rickenbach (BL);196.6
2858;Rothenfluh;73.9
2859;Rümlingen;192.1
2860;Rünenberg;159.8
2861;Sissach;774.6
2862;Tecknau;349.1
2863;Tenniken;200.9
2864;Thürnen;645.6
2865;Wenslingen;120.3
2866;Wintersingen;86.6
2867;Wittinsburg;140.3
2868;Zeglingen;65.6
2869;Zunzgen;406.7
2881;Arboldswil;175.2
2882;Bennwil;103.7
2883;Bretzwil;100.4
2884;Diegten;170.4
2885;Eptingen;50.1
2886;Hölstein;438.3
2887;Lampenberg;144.9
2888;Langenbruck;62.3
2889;Lauwil;44.4
2890;Liedertswil;80.4
2891;Niederdorf;404.3
2892;Oberdorf (BL);415
2893;Reigoldswil;172.2
2894;Titterten;119.1
2895;Waldenburg;135.1
29;Flurlingen;628.1
2901;Gächlingen;144.3
2903;Löhningen;240.4
2904;Neunkirch;148.4
291;Andelfingen;216.7
2914;Büttenhardt;109.5
2915;Dörflingen;181.4
2917;Lohn (SH);156.1
2919;Stetten (SH);313.3
292;Stammheim;123
2920;Thayngen;295.2
293;Wädenswil;721.2
2931;Bargen (SH);41.4
2932;Beringen;282.1
2933;Buchberg;151
2936;Merishausen;51.5
2937;Neuhausen am Rheinfall;1479.3
2938;Rüdlingen;147.9
2939;Schaffhausen;931
294;Elgg;212.2
295;Horgen;796.5
2951;Beggingen;38.6
2952;Schleitheim;85.3
2953;Siblingen;94.3
296;Illnau-Effretikon;539.5
2961;Buch (SH);88.4
2962;Hemishofen;62.5
2963;Ramsen;122.6
2964;Stein am Rhein;651.1
297;Bauma;173.1
2971;Hallau;158.2
2972;Oberhallau;75.4
2973;Trasadingen;149.5
2974;Wilchingen;82.4
298;Wiesendangen;354.6
3;Bonstetten;768.8
3001;Herisau;632.7
3002;Hundwil;40.1
3003;Schönengrund;107.3
3004;Schwellbrunn;89.3
3005;Stein (AR);159.9
3006;Urnäsch;49.3
3007;Waldstatt;276.6
301;Aarberg;582.6
302;Bargen (BE);139.4
3021;Bühler;345.4
3022;Gais;147.8
3023;Speicher;550.4
3024;Teufen (AR);427.7
3025;Trogen;187.1
303;Grossaffoltern;203.6
3031;Grub (AR);234.2
3032;Heiden;586
3033;Lutzenberg;587.1
3034;Rehetobel;255.1
3035;Reute (AR);140.9
3036;Wald (AR);136
3037;Walzenhausen;293.4
3038;Wolfhalden;272.4
304;Kallnach;124.3
305;Kappelen;128.4
306;Lyss;1116.5
307;Meikirch;254.2
309;Radelfingen;87.4
31;Henggart;773.3
310;Rapperswil (BE);119.8
3101;Appenzell;361.1
3102;Gonten;59.6
3104;Schlatt-Haslen;62.4
311;Schüpfen;190.7
3111;Oberegg;132.5
3112;Schwende-Rüte;62.1
312;Seedorf (BE);155
3201;Häggenschwil;157.2
3202;Muolen;122.5
3203;St. Gallen;2002.6
3204;Wittenbach;831.3
321;Aarwangen;486.2
3211;Berg (SG);274.7
3212;Eggersriet;273.5
3213;Goldach;2077.1
3214;Mörschwil;373.1
3215;Rorschach;5771.9
3216;Rorschacherberg;1088.3
3217;Steinach;795.8
3218;Tübach;805
3219;Untereggen;145.2
322;Auswil;103.2
323;Bannwil;141.8
3231;Au (SG);1855.5
3232;Balgach;799.1
3233;Berneck;713.2
3234;Diepoldsau;616.8
3235;Rheineck;1590
3236;St. Margrethen;977.9
3237;Thal;738.8
3238;Widnau;2466.6
324;Bleienbach;136.9
325;Busswil bei Melchnau;58
3251;Altstätten;318.8
3252;Eichberg;297.2
3253;Marbach (SG);495.2
3254;Oberriet (SG);270.9
3255;Rebstein;1156.5
3256;Rüthi (SG);282.2
326;Gondiswil;77.7
3271;Buchs (SG);880.1
3272;Gams;167.4
3273;Grabs;137
3274;Sennwald;152.4
3275;Sevelen;178.4
3276;Wartau;134
329;Langenthal;763.9
3291;Bad Ragaz;270.6
3292;Flums;71.9
3293;Mels;68.9
3294;Pfäfers;12.6
3295;Quarten;50.3
3296;Sargans;699.3
3297;Vilters-Wangs;156.5
3298;Walenstadt;129.6
33;Kleinandelfingen;217.5
331;Lotzwil;446.8
3311;Amden;44.2
3312;Benken (SG);186.4
3313;Kaltbrunn;273.6
3315;Schänis;104.6
3316;Weesen;351.5
