Swiss Stats Map Explorer; ; 
Geografisches Bezugssystem: Politische Gemeinden 01.01.2024; ; 
Identifikator;Bezeichnung;Ständige Wohnbevölkerung 2024
1;Aeugst am Albis;1995
10;Obfelden;5961
100;Stadel;2455
1001;Doppleschwand;824
1002;Entlebuch;3422
1004;Flühli;1858
1005;Hasle (LU);1842
1007;Romoos;661
1008;Schüpfheim;4281
1009;Werthenstein;2181
101;Steinmaur;3716
1010;Escholzmatt-Marbach;4559
102;Weiach;2123
1021;Aesch (LU);1453
1023;Ballwil;2840
1024;Emmen;32619
1025;Ermensee;1044
1026;Eschenbach (LU);3779
1030;Hitzkirch;6086
1031;Hochdorf;10067
1032;Hohenrain;2462
1033;Inwil;2924
1037;Rain;3314
1039;Römerswil;1788
1040;Rothenburg;7863
1041;Schongau;1069
1051;Adligenswil;5617
1052;Buchrain;6807
1053;Dierikon;1685
1054;Ebikon;14788
1055;Gisikon;1515
1056;Greppen;1219
1057;Honau;579
1058;Horw;15817
1059;Kriens;30008
1061;Luzern;86234
1062;Malters;7868
1063;Meggen;7795
1064;Meierskappel;1595
1065;Root;6064
1066;Schwarzenberg;1817
1067;Udligenswil;2475
1068;Vitznau;1476
1069;Weggis;4707
1081;Beromünster;6830
1082;Büron;2768
1083;Buttisholz;3486
1084;Eich;1750
1085;Geuensee;2941
1086;Grosswangen;3524
1088;Hildisrieden;2502
1089;Knutwil;2516
1091;Mauensee;1510
1093;Neuenkirch;7229
1094;Nottwil;4120
1095;Oberkirch;5106
1097;Rickenbach (LU);3884
1098;Ruswil;7541
1099;Schenkon;3117
11;Ottenbach;2973
1100;Schlierbach;1008
1102;Sempach;4380
1103;Sursee;11029
1104;Triengen;4923
1107;Wolhusen;4747
111;Bäretswil;5148
112;Bubikon;7661
1121;Alberswil;735
1122;Altbüron;1014
1123;Altishofen;2057
1125;Dagmersellen;6004
1127;Egolzwil;1664
1128;Ettiswil;2904
1129;Fischbach;724
113;Dürnten;8048
1131;Grossdietwil;920
1132;Hergiswil bei Willisau;1944
1135;Luthern;1240
1136;Menznau;3149
1137;Nebikon;2941
1139;Pfaffnau;2777
114;Fischenthal;2666
1140;Reiden;7674
1142;Roggliswil;791
1143;Schötz;4964
1145;Ufhusen;919
1146;Wauwil;2660
1147;Wikon;1503
115;Gossau (ZH);10605
1150;Zell (LU);2205
1151;Willisau;9242
116;Grüningen;3886
117;Hinwil;11961
118;Rüti (ZH);12971
119;Seegräben;1460
12;Rifferswil;1180
120;Wald (ZH);10620
1201;Altdorf (UR);10459
1202;Andermatt;1578
1203;Attinghausen;1787
1205;Bürglen (UR);3901
1206;Erstfeld;3961
1207;Flüelen;2071
1208;Göschenen;458
1209;Gurtnellen;487
121;Wetzikon (ZH);26977
1210;Hospental;180
1211;Isenthal;459
1212;Realp;149
1213;Schattdorf;5501
1214;Seedorf (UR);2058
1215;Seelisberg;736
1216;Silenen;2037
1217;Sisikon;395
1218;Spiringen;881
1219;Unterschächen;746
1220;Wassen;431
13;Stallikon;3909
1301;Einsiedeln;16532
131;Adliswil;19893
1311;Gersau;2462
1321;Feusisberg;5600
1322;Freienbach;17028
1323;Wollerau;7596
1331;Küssnacht (SZ);14148
1341;Altendorf;7426
1342;Galgenen;5463
1343;Innerthal;191
1344;Lachen;9529
1345;Reichenburg;4153
1346;Schübelbach;9757
1347;Tuggen;3469
1348;Vorderthal;1035
1349;Wangen (SZ);5583
135;Kilchberg (ZH);9483
136;Langnau am Albis;8224
1361;Alpthal;632
1362;Arth;12524
1363;Illgau;822
1364;Ingenbohl;9548
1365;Lauerz;1149
1366;Morschach;1378
1367;Muotathal;3583
1368;Oberiberg;916
1369;Riemenstalden;85
137;Oberrieden;5392
1370;Rothenthurm;2595
1371;Sattel;2066
1372;Schwyz;16446
1373;Steinen;3774
1374;Steinerberg;965
1375;Unteriberg;2476
138;Richterswil;14378
139;Rüschlikon;6406
14;Wettswil am Albis;5337
1401;Alpnach;6511
1402;Engelberg;4416
1403;Giswil;3988
1404;Kerns;6514
1405;Lungern;2072
1406;Sachseln;5299
1407;Sarnen;10862
141;Thalwil;18513
1501;Beckenried;3712
1502;Buochs;5483
1503;Dallenwil;1871
1504;Emmetten;1668
1505;Ennetbürgen;5327
1506;Ennetmoos;2338
1507;Hergiswil (NW);6296
1508;Oberdorf (NW);3099
1509;Stans;8508
151;Erlenbach (ZH);5505
1510;Stansstad;4922
1511;Wolfenschiessen;2121
