Swiss Stats Map Explorer; ; 
Geografisches Bezugssystem: Kantone 01.01.2022; ; 
Identifikator;Bezeichnung;Anteil der rein elektrischen Fahrzeuge 2025
1;Zürich;6.6
10;Freiburg;5
11;Solothurn;4.6
12;Basel-Stadt;4.6
13;Basel-Landschaft;5.3
14;Schaffhausen;4.6
15;Appenzell Ausserrhoden;4.5
16;Appenzell Innerrhoden;5.6
17;St. Gallen;5
18;Graubünden;4.5
19;Aargau;5.1
2;Bern;4.6
20;Thurgau;5.1
21;Tessin;3.9
22;Waadt;5.4
23;Wallis;4.3
24;Neuenburg;3.8
25;Genf;3.6
26;Jura;3.8
3;Luzern;5.5
4;Uri;3.8
5;Schwyz;5.2
6;Obwalden;4.3
7;Nidwalden;5.4
8;Glarus;4.1
9;Zug;11.3
