Swiss Stats Map Explorer; ; 
Référentiel géographique : Communes 01.01.2024; ; 
Code;Libellé;Part des voitures purement électriques 2024
1;Aeugst am Albis;8.7
10;Obfelden;5.4
100;Stadel;4.8
1001;Doppleschwand;1.8
1002;Entlebuch;1.5
1004;Flühli;2
1005;Hasle (LU);1.2
1007;Romoos;0.6
1008;Schüpfheim;2.1
1009;Werthenstein;2.3
101;Steinmaur;4.6
1010;Escholzmatt-Marbach;1.7
102;Weiach;3.9
1021;Aesch (LU);4.9
1023;Ballwil;4.4
1024;Emmen;3.1
1025;Ermensee;5.8
1026;Eschenbach (LU);3.9
1030;Hitzkirch;3.7
1031;Hochdorf;4.5
1032;Hohenrain;4.2
1033;Inwil;4.3
1037;Rain;5.1
1039;Römerswil;4.2
1040;Rothenburg;6.1
1041;Schongau;7.4
1051;Adligenswil;4.8
1052;Buchrain;4.4
1053;Dierikon;3.9
1054;Ebikon;4.2
1055;Gisikon;5.3
1056;Greppen;4.5
1057;Honau;4.4
1058;Horw;5.3
1059;Kriens;3.8
1061;Luzern;4.9
1062;Malters;3.5
1063;Meggen;6.1
1064;Meierskappel;6
1065;Root;4.1
1066;Schwarzenberg;3.5
1067;Udligenswil;5.4
1068;Vitznau;5.6
1069;Weggis;4.8
1081;Beromünster;4.3
1082;Büron;4
1083;Buttisholz;4.5
1084;Eich;6.3
1085;Geuensee;3.8
1086;Grosswangen;3.9
1088;Hildisrieden;5.8
1089;Knutwil;5.9
1091;Mauensee;5.6
1093;Neuenkirch;4.1
1094;Nottwil;3.7
1095;Oberkirch;7.6
1097;Rickenbach (LU);3.8
1098;Ruswil;4.6
1099;Schenkon;6
11;Ottenbach;6.5
1100;Schlierbach;7.7
1102;Sempach;5.5
1103;Sursee;5.4
1104;Triengen;3.9
1107;Wolhusen;2.7
111;Bäretswil;4.1
112;Bubikon;5.5
1121;Alberswil;3
1122;Altbüron;7.1
1123;Altishofen;4.5
1125;Dagmersellen;3.6
1127;Egolzwil;4.9
1128;Ettiswil;3.4
1129;Fischbach;2.2
113;Dürnten;5
1131;Grossdietwil;4.8
1132;Hergiswil bei Willisau;1.6
1135;Luthern;1.6
1136;Menznau;2.7
1137;Nebikon;6.2
1139;Pfaffnau;4.4
114;Fischenthal;3.4
1140;Reiden;3.1
1142;Roggliswil;3.7
1143;Schötz;3.1
1145;Ufhusen;2.2
1146;Wauwil;4.9
1147;Wikon;3.3
115;Gossau (ZH);4.4
1150;Zell (LU);4.2
1151;Willisau;3.6
116;Grüningen;5.3
117;Hinwil;4.7
118;Rüti (ZH);3.8
119;Seegräben;7.6
12;Rifferswil;6.5
120;Wald (ZH);3.1
1201;Altdorf (UR);3.8
1202;Andermatt;4.1
1203;Attinghausen;2.5
1205;Bürglen (UR);1.8
1206;Erstfeld;1.9
1207;Flüelen;3.6
1208;Göschenen;1.6
1209;Gurtnellen;0.3
121;Wetzikon (ZH);4.1
1210;Hospental;0
1211;Isenthal;1.1
1212;Realp;3.5
1213;Schattdorf;3.6
1214;Seedorf (UR);4.1
1215;Seelisberg;2.8
1216;Silenen;1.6
1217;Sisikon;4.3
1218;Spiringen;0.7
1219;Unterschächen;0.7
1220;Wassen;1.5
13;Stallikon;6.7
1301;Einsiedeln;3.8
131;Adliswil;5
1311;Gersau;4.3
1321;Feusisberg;5.8
1322;Freienbach;5.8
1323;Wollerau;6.6
1331;Küssnacht (SZ);4.4
1341;Altendorf;5.7
1342;Galgenen;4.5
1343;Innerthal;1.4
1344;Lachen;5
1345;Reichenburg;3.7
1346;Schübelbach;2.4
1347;Tuggen;4.2
1348;Vorderthal;0.8
1349;Wangen (SZ);3.6
135;Kilchberg (ZH);6.9
136;Langnau am Albis;5.3
1361;Alpthal;1.5
1362;Arth;4
1363;Illgau;0.8
1364;Ingenbohl;3.6
1365;Lauerz;3.3
1366;Morschach;4.3
1367;Muotathal;2.1
1368;Oberiberg;3.4
1369;Riemenstalden;0
137;Oberrieden;5.1
1370;Rothenthurm;2.2
1371;Sattel;2.4
1372;Schwyz;4
1373;Steinen;2.8
1374;Steinerberg;4.6
1375;Unteriberg;1.6
138;Richterswil;5.2
139;Rüschlikon;6.8
14;Wettswil am Albis;8.6
1401;Alpnach;3
1402;Engelberg;3.1
1403;Giswil;2.2
1404;Kerns;3.8
1405;Lungern;3
1406;Sachseln;3.9
1407;Sarnen;4
141;Thalwil;6.3
1501;Beckenried;4
1502;Buochs;4
1503;Dallenwil;3.6
1504;Emmetten;3.5
1505;Ennetbürgen;5.1
1506;Ennetmoos;2.7
1507;Hergiswil (NW);5.5
1508;Oberdorf (NW);3.5
1509;Stans;5.1
151;Erlenbach (ZH);6.9
1510;Stansstad;3.7
1511;Wolfenschiessen;2.2
152;Herrliberg;6.9
153;Hombrechtikon;5
154;Küsnacht (ZH);6.3
155;Männedorf;6.2
156;Meilen;6.1
157;Oetwil am See;4
158;Stäfa;5.8
159;Uetikon am See;6.5
160;Zumikon;7.2
161;Zollikon;5.6
1630;Glarus Nord;3.3
1631;Glarus Süd;3.2
1632;Glarus;3.2
1701;Baar;5.2
1702;Cham;13.4
1703;Hünenberg;6
1704;Menzingen;5.4
1705;Neuheim;5.7
1706;Oberägeri;5.5
1707;Risch;15.7
1708;Steinhausen;5.5
1709;Unterägeri;4.9
1710;Walchwil;5.4
1711;Zug;6.3
172;Fehraltorf;5.3
173;Hittnau;4.9
176;Lindau;6.2
177;Pfäffikon;4.8
178;Russikon;6
180;Weisslingen;5.7
181;Wila;4.1
182;Wildberg;2.7
191;Dübendorf;5
192;Egg;5.1
193;Fällanden;5.8
194;Greifensee;3.9
195;Maur;6.8
196;Mönchaltorf;4.8
197;Schwerzenbach;7.8
198;Uster;4.9
199;Volketswil;4.5
2;Affoltern am Albis;4.6
200;Wangen-Brüttisellen;4.9
2008;Châtillon (FR);6.2
2011;Cugy (FR);3.7
2016;Fétigny;4.3
2022;Gletterens;5.8
2025;Lully (FR);5.4
2027;Ménières;2.7
2029;Montagny (FR);3.9
2035;Nuvilly;5.3
2038;Prévondavaux;3.5
2041;Saint-Aubin (FR);5.3
2043;Sévaz;4.3
2044;Surpierre;3.4
2045;Vallon;6.6
2050;Les Montets;4.1
2051;Delley-Portalban;7.1
2053;Belmont-Broye;3.8
2054;Estavayer;4.3
2055;Cheyres-Châbles;5.3
2061;Auboranges;7.3
2063;Billens-Hennens;4.2
2066;Chapelle (Glâne);5.9
2067;Le Châtelard;4.6
2068;Châtonnaye;5
2072;Ecublens (FR);3.7
2079;Grangettes;5.6
2086;Massonnens;2.5
2087;Mézières (FR);3.8
2089;Montet (Glâne);7.1
2096;Romont (FR);2.7
2097;Rue;3.7
2099;Siviriez;4.4
2102;Ursy;5
211;Altikon;3.7
2113;Vuisternens-devant-Romont;3.4
2114;Villorsonnens;4.5
2115;Torny;5.3
2117;Villaz;3.5
2121;Haut-Intyamon;3.5
2122;Pont-en-Ogoz;5.4
2123;Botterens;5.1
2124;Broc;3.2
2125;Bulle;3.9
2128;Châtel-sur-Montsalvens;5
2129;Corbières;7.3
213;Brütten;6.8
2130;Crésuz;3.8
2131;Echarlens;3.9
2134;Grandvillard;3
2135;Gruyères;3.7
2137;Hauteville;4.5
2138;Jaun;1.9
214;Dägerlen;6.9
2140;Marsens;5
2143;Morlon;6.3
2145;Le Pâquier (FR);5.5
2147;Pont-la-Ville;4
2148;Riaz;3.7
2149;La Roche;3.8
215;Dättlikon;4.8
2152;Sâles;3.2
2153;Sorens;5.3
2155;Vaulruz;3.1
216;Dinhard;4.6
2160;Vuadens;3.8
2162;Bas-Intyamon;4.1
2163;Val-de-Charmey;3.7
2173;Autigny;3.9
2174;Avry;4.6
2175;Belfaux;2.1
2177;Chénens;4.6
218;Ellikon an der Thur;6
2183;Corminboeuf;5.5
2186;Cottens (FR);4.8
219;Elsau;4.1
2194;Ferpicloz;5.4
2196;Fribourg;2.5
2197;Givisiez;3.4
2198;Granges-Paccot;5.6
22;Benken (ZH);4.3
220;Hagenbuch;3.5
2200;Grolley;2.8
2206;Marly;3.7
2208;Matran;8.4
221;Hettlingen;7.5
2211;Neyruz (FR);5.1
2216;Pierrafortscha;9
2217;Ponthaux;4.7
2220;Le Mouret;4.3
2226;Treyvaux;5
2228;Villars-sur-Glâne;4.1
223;Neftenbach;5.3
2230;Villarsel-sur-Marly;0
2233;Hauterive (FR);3.7
2234;La Brillaz;5
2235;La Sonnaz;5.2
2236;Gibloux;4.9
2237;Prez;4.6
2238;Bois-d'Amont;4.5
224;Pfungen;4.1
225;Rickenbach (ZH);5.1
2250;Courgevaux;7
2254;Courtepin;3.8
2257;Cressier (FR);4.2
2258;Fräschels;3.7
226;Schlatt (ZH);5.5
2261;Greng;8.1
2262;Gurmels;3.9
2265;Kerzers;3.3
2266;Kleinbösingen;5.5
227;Seuzach;4.5
2271;Meyriez;8.8
2272;Misery-Courtion;4.2
2274;Muntelier;6.5
2275;Murten;4.4
2276;Ried bei Kerzers;3.7
2278;Ulmiz;4.9
228;Turbenthal;4.5
2284;Mont-Vully;6.9
2292;Brünisried;2.9
2293;Düdingen;4.2
2294;Giffers;3.5
2295;Bösingen;3.6
2296;Heitenried;3.7
2299;Plaffeien;2.7
23;Berg am Irchel;3.2
230;Winterthur;4.4
2300;Plasselb;2.1
2301;Rechthalten;3.4
2303;St. Silvester;2.3
2304;St. Ursen;3.6
2305;Schmitten (FR);5.3
2306;Tafers;3.3
2307;Tentlingen;4
2308;Ueberstorf;3.9
2309;Wünnewil-Flamatt;2.9
231;Zell (ZH);3.2
2321;Attalens;6.3
2323;Bossonnens;4.7
2325;Châtel-Saint-Denis;3.8
2328;Granges (Veveyse);5
2333;Remaufens;4.3
2335;Saint-Martin (FR);4.4
2336;Semsales;4.2
2337;Le Flon;2.5
2338;La Verrerie;3.7
24;Buch am Irchel;8
2401;Egerkingen;3.9
2402;Härkingen;3.4
2403;Kestenholz;4.4
2404;Neuendorf;3.4
2405;Niederbuchsiten;3.5
2406;Oberbuchsiten;2.6
2407;Oensingen;3.5
2408;Wolfwil;3.9
241;Aesch (ZH);10.1
242;Birmensdorf (ZH);5.3
2421;Aedermannsdorf;4.7
2422;Balsthal;2.8
2424;Herbetswil;2.8
2425;Holderbank (SO);2.1
2426;Laupersdorf;2.8
2427;Matzendorf;3.4
2428;Mümliswil-Ramiswil;2.4
243;Dietikon;3.4
2430;Welschenrohr-Gänsbrunnen;2
244;Geroldswil;5.1
2445;Biezwil;5.1
245;Oberengstringen;3
2455;Lüterkofen-Ichertswil;5.3
2457;Messen;4.4
246;Oetwil an der Limmat;4.7
2461;Schnottwil;5
2463;Unterramsern;8.1
2464;Lüsslingen-Nennigkofen;2.5
