Swiss Stats Map Explorer; ; 
Geografisches Bezugssystem: Bezirke 01.01.2023; ; 
Identifikator;Bezeichnung;Bildungsabschluss Tertiärstufe  2019-2021
1001;La Broye;29.1
1002;La Glâne;28.3
1003;La Gruyère;29
1004;La Sarine;39.4
1005;See / Lac;N/A
1006;Sense;31.9
1007;La Veveyse;32.4
101;Affoltern;46.2
102;Andelfingen;43.2
103;Bülach;38.7
104;Dielsdorf;35
105;Hinwil;36.7
106;Horgen;50.5
107;Meilen;56.2
108;Pfäffikon;40.4
109;Uster;44.8
110;Winterthur;44.1
1101;Gäu;27.5
1102;Thal;26.7
1103;Bucheggberg;37.8
1104;Dorneck;43.9
1105;Gösgen;31.3
1106;Wasseramt;31.6
1107;Lebern;31.4
1108;Olten;35
1109;Solothurn;50.8
111;Dietikon;36.8
1110;Thierstein;28.2
112;Zürich;59.3
1200;Kt. Basel-Stadt;49.4
1301;Arlesheim;43.1
1302;Laufen;31.7
1303;Liestal;34.4
1304;Sissach;34.2
1305;Waldenburg;32.5
1401;Oberklettgau;32.1
1402;Reiat;37.7
1403;Schaffhausen;35.1
1404;Schleitheim;N/A
1405;Stein;37.1
1406;Unterklettgau;33.4
1501;Hinterland;32.5
1502;Mittelland;42.8
1503;Vorderland;35.2
1600;Kt. Appenzell i.Rh.;33.9
1721;St. Gallen;38.1
1722;Rorschach;33.2
1723;Rheintal;30.7
1724;Werdenberg;35.3
1725;Sarganserland;32.6
1726;See-Gaster;34.5
1727;Toggenburg;27.3
1728;Wil;32.7
1841;Albula;29.6
1842;Bernina;N/A
1843;Engiadina Bassa/Val Müstair;30.6
1844;Imboden;35.2
1845;Landquart;35.9
1846;Maloja;35.7
1847;Moesa;23.9
1848;Plessur;35.2
1849;Prättigau/Davos;33.9
1850;Surselva;29.4
1851;Viamala;30.2
1901;Aarau;41.6
1902;Baden;41.3
1903;Bremgarten;35.5
1904;Brugg;N/A
1905;Kulm;28.3
1906;Laufenburg;N/A
1907;Lenzburg;37.1
1908;Muri;36.4
1909;Rheinfelden;37
1910;Zofingen;32.4
1911;Zurzach;32.3
2011;Arbon;30
2012;Frauenfeld;35.3
2013;Kreuzlingen;41.6
2014;Münchwilen;32.6
2015;Weinfelden;30.3
2101;Bellinzona;29.9
2102;Blenio;27.8
2103;Leventina;22.9
2104;Locarno;30.5
2105;Lugano;37.8
2106;Mendrisio;30.1
2107;Riviera;20.4
2108;Vallemaggia;29.4
2221;Aigle;30.3
2222;Broye-Vully;25.4
2223;Gros-de-Vaud;35.6
2224;Jura-Nord vaudois;28.3
2225;Lausanne;46.7
2226;Lavaux-Oron;50.3
2227;Morges;42.7
2228;Nyon;50.8
2229;Ouest lausannois;32.3
2230;Riviera-Pays-d'Enhaut;40.8
2301;Brig;31
2302;Conthey;25.7
2303;Entremont;34.3
2304;Goms;N/A
2305;Hérens;28.8
2306;Leuk;25
2307;Martigny;26.7
2308;Monthey;25.3
2309;Raron;24.4
2310;Saint-Maurice;22.5
2311;Sierre;31
2312;Sion;34.6
2313;Visp;30.5
2400;Cant. de Neuchâtel;32.3
241;Jura bernois;24.3
242;Biel/Bienne;33.5
243;Seeland;33.9
244;Oberaargau;31.6
245;Emmental;30.8
246;Bern-Mittelland;N/A
247;Thun;34.5
248;Obersimmental-Saanen;27
249;Frutigen-Niedersimmental;29.9
250;Interlaken-Oberhasli;31.2
2500;Cant. de Genève;45
2601;Delémont;24.7
2602;Les Franches-Montagnes;25.7
2603;Porrentruy;24.4
311;Luzern-Stadt;47
312;Luzern-Land;40
313;Hochdorf;31.7
314;Sursee;39
315;Willisau;29.5
316;Entlebuch;25.6
400;Kt. Uri;28.5
501;Einsiedeln;34.8
502;Gersau;N/A
503;Höfe;50.9
504;Küssnacht (SZ);44.4
505;March;37.5
506;Schwyz;31.3
600;Kt. Obwalden;32.3
700;Kt. Nidwalden;38.8
800;Kt. Glarus;29.2
900;Kt. Zug;50.1
